,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,160.08,162.86,155.155,158.63,1338737,,,,,,,7.7050000000000125
1,159.05,163.36,156.09,163.35,889962,,,,,,,7.673928571428584
2,163.48,165.88,158.17,161.03,735707,,,,,154.92835583169747,165.6520159252374,7.676505102040828
3,163.52,165.815,159.84,164.51,719080,,,,,156.15460149154927,166.45485981527975,7.5549690233236255
4,161.54,162.84,155.99,158.09,1255148,,,,,156.06937833846195,166.58168506068316,7.623899807371936
5,154.51,157.42,152.26,156.98,1283910,,,,,152.2398416919606,166.2814274926281,7.495764106845371
6,150.0,151.03,144.87,145.36,1821594,,,,,145.38050355596894,163.00830208618757,7.825352384927843
7,148.49,151.09,145.15,151.09,1209652,,,,,143.23853661456306,156.85207026076583,7.690684357432997
8,147.67,148.79,143.26,145.24,1210340,156.03,,,,143.4066503269282,151.61426175751768,7.7006354747592125
9,138.18,138.67,130.71,131.06,1520444,152.97,,,,131.85822520779516,152.79091483743412,8.188447226562126
10,136.59,137.47,127.27,136.29,1537614,149.96,,,,125.33025214899149,147.86154315074336,8.332129567521974
11,124.54,129.03,120.05,120.49,1556908,145.46,,,,120.56944855736108,140.3102876401796,8.896977455556119
12,123.32,133.88,118.04,130.63,1615900,141.69,,,,116.93277819109024,137.69564634973244,9.392907637302109
13,121.27,130.88,111.74,122.6901,1485640,137.76,,,,112.27436855809904,133.7109512229017,10.08912852035196
14,121.86,125.435,116.905,121.37,1274986,133.8,,,,112.20370473517703,134.34608339091892,9.977762197469678
15,121.41,122.87,115.33,115.51,1367402,130.49,,,,112.01113512894182,130.48538201149992,9.803636326221843
16,115.43,117.75,105.69,107.44,1590274,125.64,,,,106.57005993258602,125.93098056166043,9.964805160063142
17,112.78,118.99,110.82,117.99,1293214,122.61,,,,105.79001151809713,122.54102976396794,10.078033362915773
18,117.3,123.3716,115.3125,117.69,1303760,121.12,,,,105.79273170339422,122.99068396305152,9.933823836993218
19,119.14,130.27,119.0,129.31,1753168,120.35,137.74,,,110.9475702643671,129.89713661238628,10.122836420065132
20,125.61,133.53,123.91,129.86,1335492,121.39,136.3,,,115.0942884644965,134.24385937960088,10.086919532917625
21,131.21,140.4,131.14,139.98,1429266,122.43,135.13,,,118.57649836476459,139.90442928422564,10.119282423423508
22,139.58,142.36,137.7,140.15,1693108,124.37,134.09,,,124.01895448556384,143.40027557292777,9.72933367889326
23,135.21,140.03,133.79,137.71,1893912,126.18,132.75,,,130.90989394109815,142.18215813697844,9.488666987543743
24,137.35,141.43,136.01,139.55,1226540,128.85,131.82,,,133.87235568600173,142.44620729644052,9.198047917004907
25,138.47,140.94,137.565,138.72,1255646,132.33,130.91,,,133.8910963071992,141.5104224095574,8.782115922933128
26,143.96,149.51,142.21,148.61,1256244,135.73,131.07,,,135.36921714927973,148.77268116542135,8.92553621415219
27,149.99,154.37,147.76,148.6,1990356,139.17,130.94,,,137.4074763946123,155.07320343013183,8.760140770284178
28,149.64,150.6,146.22,149.17,1508528,141.37,131.14,,,142.53152559974967,154.04351633330305,8.447273572406736
29,149.15,153.73,147.86,152.61,1227308,143.9,132.22,,,146.36065240523445,154.91739931595137,8.26318260294911
30,152.54,153.4128,145.26,149.5,1008462,144.96,132.88,,,145.13192968409774,154.30378753881166,8.255298131309889
31,152.27,158.53,151.25,157.17,1732206,146.85,134.71,,,145.11966335589995,158.09150551498993,8.310633979073469
32,154.17,156.04,151.97,154.96,1055380,148.77,135.93,,,145.8095264256175,158.55317319355157,8.088445837711078
33,155.57,156.2285,149.46,150.38,1607898,149.97,137.31,,,149.60088088417515,158.31922760746102,7.994163992160286
34,152.96,155.46,149.49,155.0,1340754,151.78,139.0,,,148.86609964867174,156.31002559219212,7.8495808498631225
35,153.9,160.16,153.44,157.46,1598572,152.76,141.09,,,148.50742370591848,159.8039866573765,7.768896503444328
36,155.02,155.385,146.41,147.85,1290254,152.68,143.11,,,146.2560391602628,159.73712062046192,8.00326103891259
37,149.95,152.28,147.57,151.075,633118,152.89,144.77,,,145.37119382297243,159.9110505399314,7.768028107561692
38,150.42,153.07,149.035,149.35,1082934,152.53,146.35,,,146.35621680698588,155.1920428280486,7.501383242735857
39,150.5,151.12,145.53,147.67,1141606,152.32,147.27,,,145.61799009028837,153.1374996459931,7.364855868254725
40,149.36,150.815,148.0,149.69,710140,151.49,148.26,,,145.72087286022074,152.89175408407053,7.063437591950818
41,150.6,151.748,146.14,146.21,958756,150.52,148.57,,,145.27003022487986,151.70339382937064,6.9594777639543315
42,147.25,149.21,145.61,146.89,906102,150.13,148.91,,,145.32817066127296,151.8747417964688,6.719515066529023
43,145.86,146.24,141.23,142.48,1347758,148.74,149.15,,,141.63181354760192,151.82282208348684,6.643835418919807
44,141.23,143.04,139.7,141.23,1174074,146.94,149.23,,,139.11260697008044,149.24904772927692,6.407847174711249
45,141.39,141.43,138.66,139.52,677208,146.01,149.27,,,138.5705714320803,146.01840764579748,6.148000947946161
46,140.72,143.72,140.53,141.65,1792938,144.97,148.92,,,138.6930368203617,143.9060527199065,6.008858023092863
47,142.42,142.68,139.51,141.0,1041660,144.04,148.54,,,138.63037967362914,143.7566036804404,5.806082450014802
48,143.39,145.42,142.68,143.88,1232748,143.62,148.28,,,139.28844748085416,145.32318473097405,5.70707656072803
49,146.5,148.78,145.235,148.2,1104878,143.45,148.06,142.82,,139.60699982566268,148.6819135197595,5.649428234961743
50,147.0,153.59,147.0,152.78,1095326,144.18,148.22,142.7,,142.79966106507788,153.3697226637956,5.716611932464476
51,153.5,153.95,149.19,149.19,1085584,144.44,147.82,142.42,,145.16036448543989,154.99326212383335,5.6482825087170125
52,148.61,150.04,145.29,146.76,1219886,144.91,147.41,142.13,,145.2050831219715,154.68769265756438,5.584119472380084
53,146.4,153.55,144.1096,151.02,2168842,146.0,147.45,141.86,,143.53778023209705,154.6646197701742,5.859568081495794
54,150.29,153.4958,149.88,151.44,1538746,147.32,147.27,141.73,,143.3780648566497,154.37296918913887,5.6992989328175225
55,154.58,160.54,153.64,159.62,987578,149.32,147.38,141.78,,144.40945626198936,159.9133485445078,5.942206151901985
56,159.22,160.575,157.54,157.62,872550,151.17,147.86,142.03,,149.85645344370693,162.28071195333212,5.734548569623271
57,159.27,159.87,157.82,158.0,810170,152.74,148.21,142.17,,153.99664051369786,160.7256472310732,5.485652243221609
58,156.84,157.69,155.7,156.25,545361,153.63,148.56,142.39,,155.86830559608768,160.8823640289433,5.258105654420067
59,156.62,157.81,155.12,157.5,733088,154.16,149.05,142.91,,154.79201938724825,159.68211896412126,5.074669536247205
60,159.65,161.1,158.05,158.68,654698,155.21,149.5,143.36,,154.73845238551866,160.80172049882142,4.969335997943833
61,158.92,160.02,156.94,159.94,746068,156.67,150.18,144.15,,155.22406549641667,161.3203644401817,4.834383426662132
62,161.1,164.57,160.01,162.81,736982,157.98,150.98,144.79,,156.7788452075065,164.27398308089045,4.81978461047198
63,163.53,166.39,161.14,166.21,912546,159.63,152.16,145.67,,157.18994120733834,166.941051660673,4.850514281152553
64,165.49,166.635,164.33,165.65,814534,160.3,153.39,146.55,,159.5863021129974,166.99317330229263,4.668691832498799
65,165.94,166.98,161.75,164.43,974084,161.05,154.63,147.53,,160.71331692921197,166.96474239753255,4.708785273034598
66,165.0,165.53,162.95,163.19,1000514,161.63,155.71,148.64,,161.7189539125172,167.1391350378475,4.556729182103556
67,162.58,164.0,159.99,160.55,967690,162.11,156.69,149.5,,160.07453068242972,166.99351229350523,4.517677097667588
68,162.64,165.23,162.06,164.045,919966,162.83,157.69,150.42,,160.1479720517629,165.73074040235176,4.52927159069133
69,162.66,165.8,162.66,165.19,864254,163.56,158.54,151.14,,160.1691788122661,165.9299456505716,4.43003790564195
70,164.51,165.59,161.32,161.555,713348,163.74,158.98,151.77,,161.342115534599,165.828270706118,4.418606626667526
71,162.06,162.06,158.96,159.74,810980,163.4,159.51,152.17,,159.10671411685132,166.58462658591347,4.324420439048417
