,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,27.35,27.41,26.56,27.35,2125367,,,,,,,0.8500000000000014
1,26.53,26.68,25.35,25.66,2276449,,,,,,,0.9321428571428585
2,24.82,25.83,24.6958,24.95,4819252,,,,,,,0.9465755102040829
3,23.03,23.52,20.3,21.195,3003330,,,,,,,1.2111058309037912
4,22.23,22.7,20.705,22.59,4258634,,,,,,,1.2670982715535206
5,21.93,21.99,20.72,21.15,3130508,,,,,,,1.3101626807282694
6,19.6,20.52,18.68,18.74,3734750,,,,,,,1.393008203533393
7,20.13,21.85,20.02,21.85,3527816,,,,,,,1.5156504747095796
8,19.09,20.6,17.66,17.86,5763368,22.37,,,,,,1.7066754408017526
9,18.12,18.435,17.26,17.5,3686845,21.28,,,,,,1.6686986236016272
10,16.22,16.56,14.98,15.6,6209588,20.16,,,,,,1.7295058647729395
11,15.18,19.25,15.01,18.5,4759404,19.44,,,,,,1.9088268744320154
12,18.69,20.22,18.45,18.81,3775493,19.18,,,,,,1.8989106691154427
13,18.85,19.19,17.26,17.89,3110755,18.66,,,,,,1.9011313356071968
14,19.42,21.39,19.23,20.84,4409089,18.62,,,,,,2.0153362402066826
15,21.12,21.37,19.1,19.7,3257271,18.73,,,,,,2.033526508763348
16,20.02,21.19,18.95,20.57,3437825,18.59,,,,,,2.048274615280252
17,19.55,20.95,19.42,20.27,2499922,18.85,,,,,,2.0112549999030906
18,19.99,21.96,19.25,21.83,2667320,19.33,,,,,,2.06116535705287
19,21.91,23.025,21.46,22.54,2882931,20.11,20.77,,,13.702989494634474,27.080604736899048,2.025724974406236
20,21.61,22.5,21.49,21.96,2531623,20.49,20.5,,,14.282929719105246,26.143824847682637,1.956030333377219
21,21.87,22.45,20.52,21.28,2145429,20.76,20.28,,,14.788049541797541,25.277419005393714,1.954171023850275
22,21.23,21.99,20.7,20.95,1532498,21.1,20.08,,,15.31320235783238,24.48942952448207,1.9067302364323981
23,22.27,23.0,21.96,22.6,2739054,21.3,20.15,,,15.211311102657941,24.392306188106428,1.9169637909729413
24,23.87,24.39,22.69,22.76,1792922,21.64,20.16,,,15.052489669745814,24.728227140297594,1.9078949487605885
25,23.35,23.83,22.84,23.51,2389514,21.97,20.28,,,14.901394945294495,25.001668758093732,1.8480453095634035
26,24.2,24.658,23.56,23.97,1558245,22.38,20.54,,,14.778810396325916,25.487690732537533,1.7980420731660176
27,23.97,24.17,23.025,23.67,1377756,22.58,20.63,,,14.690820063018592,25.782172923383367,1.7513962107970167
28,24.27,24.53,23.07,23.21,2392206,22.66,20.9,,,14.852211049309975,26.153302991114625,1.730582195740087
29,22.06,22.08,21.21,21.85,2705993,22.64,21.12,,,15.19273367857101,26.049593840398053,1.7498263246157952
30,22.02,22.435,21.57,22.25,5511950,22.75,21.45,,,16.14079227152959,25.474720301800296,1.6866244442860954
31,23.1,23.59,22.58,23.47,2863177,23.03,21.7,,,17.286592289927352,25.422294067005453,1.661865555408517
32,22.56,23.17,22.09,22.56,4031528,23.03,21.88,,,17.62782129825007,25.39243903810613,1.6417323014507659
33,21.56,22.8,20.58,22.21,14085115,22.97,22.1,,,18.28386797758133,25.069084423274543,1.6830371370614257
34,23.12,23.25,22.21,22.89,4652341,22.9,22.2,,,18.566178781908146,25.075061979184447,1.6371059129856096
35,23.15,24.34,22.91,24.07,6440588,22.91,22.42,,,18.902372923439714,25.199031490020808,1.623741204915209
36,24.33,24.75,23.49,23.54,3563466,22.89,22.57,,,19.31159698504153,25.330404435628225,1.5977596902784084
37,23.7,25.21,23.65,24.95,3656489,23.09,22.8,,,19.669425715816615,25.449034769115606,1.6029197124013794
38,25.57,25.86,24.2,24.73,1504782,23.41,22.95,,,20.119423150496303,25.801221753544677,1.606996875801281
39,25.56,26.12,25.33,25.8803,1401595,23.81,23.12,,,19.962837727783775,26.2064317260148,1.5914970989583326
40,25.16,25.31,24.17,24.26,3465973,23.9,23.23,,,20.035094339026646,26.36583544207769,1.5999830204613086
41,23.82,25.0,23.7,24.41,2000130,24.1,23.39,,,20.35109268268322,26.441613853754692,1.5785556618569296
42,23.9391,24.76,23.895,24.32,3890964,24.34,23.56,,,20.671186962494026,26.400115132924444,1.5275874002957204
43,24.73,25.24,24.12,24.14,1205314,24.48,23.63,,,20.76927207619479,26.491225668624196,1.4984740145603117
44,23.61,24.355,23.51,23.88,3796974,24.46,23.69,,,20.80761801978477,26.48914745910739,1.4517972992345751
45,24.33,24.79,23.985,24.13,1043692,24.52,23.72,,,20.83350889658875,26.538341759752598,1.4130974921463912
46,24.68,25.47,24.57,25.37,2210986,24.57,23.79,,,20.8028409290844,26.63398090722104,1.4078762427073632
47,24.53,24.73,24.21,24.32,2511342,24.52,23.82,,,20.821254921531207,26.665842634462933,1.3901707967996946
48,24.36,24.66,23.23,23.23,1563402,24.23,23.82,,,20.830730896826484,26.674772984698,1.3930157398854306
49,22.75,23.14,21.6,22.15,1716541,23.99,23.84,22.36,,20.914099704018337,26.54276668885728,1.4099431870364711
50,21.5,22.275,20.97,22.25,1788693,23.75,23.84,22.26,,20.77988174159088,26.568124572602265,1.4024472451052947
51,22.16,22.66,21.81,22.52,2591326,23.55,23.79,22.19,,20.674319426379416,26.637460684358715,1.3629867275977736
52,23.66,24.695,23.59,24.36,1971455,23.58,23.88,22.18,,20.800746698949393,26.640943479126243,1.4209876756265043
53,24.35,25.035,24.02,24.19,1365111,23.61,23.98,22.24,,21.30779362888919,26.616343910586927,1.391988555938897
54,24.33,25.25,24.33,24.61,3508676,23.67,24.07,22.28,,21.464507769437986,26.63555294077596,1.3682750876575471
55,24.6,25.11,24.5686,24.77,2943976,23.6,24.1,22.35,,21.525383130037987,26.67598176058256,1.3092125813962936
56,24.95,24.95,23.89,24.45,1995046,23.61,24.15,22.47,,21.544091027532403,26.68865057900373,1.2914116827251296
57,25.5,26.1,25.38,25.79,1319761,23.9,24.19,22.55,,21.496840721071848,26.81763484785948,1.3170251339590493
58,26.39,27.59,26.345,27.39,2133340,24.48,24.32,22.74,,21.32789583608201,27.219725040886026,1.3515233386762602
59,27.41,27.73,26.79,26.99,1695341,25.01,24.38,22.93,,21.150875053793296,27.575004310987616,1.322128814485099
60,26.61,26.8,25.68,26.54,1943377,25.45,24.49,23.15,,21.119569570057415,27.77465422816299,1.321262470593306
61,26.6,27.14,26.34,26.86,944690,25.73,24.61,23.31,,21.07534268508472,28.040377709997177,1.2840294369794985
62,27.26,27.53,27.065,27.21,1081223,26.07,24.76,23.48,,20.971073266260255,28.36335472087938,1.240170191480963
63,27.73,28.23,27.485,27.88,2512476,26.43,24.94,23.68,,20.850100270123935,28.784683454492942,1.2244437492323228
64,27.59,28.17,27.33,28.16,1132719,26.81,25.16,23.83,,20.855585754420098,29.150701929597798,1.1969834814300144
65,29.5,29.98,28.91,29.15,1903057,27.33,25.41,24.02,,20.672265160591273,29.88706182953412,1.2414846613278705
66,29.3179,29.8,29.2,29.6,2448996,27.75,25.62,24.2,,20.49446722876267,30.464380693406284,1.1992357569473084
67,28.89,29.54,28.54,29.32,3626766,27.97,25.87,24.38,,20.494239050737615,30.915923024562083,1.1892903457367865
68,29.47,29.62,28.41,28.83,1895284,28.17,26.15,24.52,,20.678230842623208,31.31956630504092,1.1907696067555875
69,27.13,28.0,25.485,25.59,3471329,28.07,26.32,24.58,,21.24584089963446,31.315268809470613,1.3446432062730456
70,26.75,27.07,26.21,26.22,257521,28.0,26.52,24.66,,22.116303183578495,31.017010010203208,1.3543115486821138
71,25.44,27.175,25.32,26.73,1334577,27.94,26.73,24.77,,22.81033208084926,30.662281022805026,1.3900750094905343
72,28.11,28.76,27.58,28.14,3233531,27.97,26.92,24.92,,23.200844105621712,30.69711746211971,1.4357839373840677
73,27.88,28.09,27.29,27.38,922435,27.88,27.08,25.01,,23.55475621557676,30.64490934038114,1.3939422275709201
74,27.27,27.52,26.67,26.77,3055388,27.62,27.19,25.09,,23.866096681364702,30.544045746670115,1.3550892113158541
75,27.39,27.68,26.48,27.17,1966914,27.35,27.31,25.17,,24.14310863716499,30.384251889432047,1.3440114105075789
76,27.17,27.54,26.93,27.23,1623387,27.12,27.45,25.23,,24.677731626766242,30.11412977418241,1.2915820240427518
77,27.91,27.95,27.23,27.24,1321402,26.94,27.52,25.3,,24.894688220629646,30.008282834255407,1.2507547366111267
78,26.95,26.95,25.8,25.86,1503431,26.97,27.44,25.36,,24.816305499638986,30.03250294485989,1.2642722554246175
79,25.68,26.71,25.35,26.7,1686728,27.02,27.43,25.45,,24.620633602242965,30.068815417247166,1.2711099514657163
80,26.37,26.455,25.35,25.43,1615024,26.88,27.37,25.52,,24.561787880925976,30.09963352588105,1.2767449549324508
81,25.53,26.015,25.48,25.76,1432856,26.62,27.32,25.56,,24.44283714387989,30.194408472667025,1.2273346010087043
82,25.7,26.36,25.54,26.08,1192599,26.47,27.26,25.63,,24.29399029311978,30.238954658320836,1.1982392723652253
83,26.17,26.215,25.2,25.5,1148398,26.33,27.14,25.7,,24.099452898983973,30.245129440393445,1.1851507529105665
84,26.06,26.64,25.8,25.99,960460,26.2,27.03,25.76,,24.009197556592337,30.212244915815752,1.1819256991312403
85,26.69,26.74,25.44,25.95,1461104,26.06,26.87,25.8,,24.01488058638957,29.840999030109273,1.1903595777647231
86,25.6,25.93,25.42,25.59,1171294,25.87,26.67,25.84,,24.152710563860012,29.493439226285393,1.143191036495814
87,25.64,25.69,24.66,24.88,1611008,25.76,26.45,25.84,,24.127244346488283,29.159012442003547,1.1351059624603987
88,24.84,24.99,24.0,24.52,1168446,25.52,26.24,25.83,,24.020716894720127,28.794017168511086,1.1247412508560843
89,24.6,25.82,24.485,25.81,1696581,25.56,26.25,25.83,,23.875765890126207,28.675050933088695,1.1397597329377926
