,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,154.38,154.55,148.7233,152.78,723490,,,,,,,5.826700000000017
1,154.06,160.32,153.8357,160.18,468526,,,,,,,5.949078571428586
2,160.59,166.075,160.48,162.83,477660,,,,,,,5.945215816326543
3,165.55,170.4699,164.7315,170.0,426166,,,,,,,6.066264686588932
4,168.2,172.265,167.2446,168.63,398811,,,,,,,5.991560066118294
5,164.63,170.24,162.51,169.5,468629,,,,,,,6.115734347109846
6,161.0,164.365,160.62,162.43,524934,,,,,,,6.313181893744858
7,164.67,167.07,158.73,164.39,704184,,,,,,,6.457954615620226
8,161.28,161.845,152.965,153.16,484940,162.66,,,,,,6.812743571647352
9,143.68,153.35,123.07,142.34,694588,161.5,,,,,,8.48897617367254
10,148.5,149.47,140.39,148.33,636548,160.18,,,,,,8.53119216126736
11,136.51,136.51,119.82,119.82,778797,155.4,,,,,,9.958249864033977
12,122.56,137.405,117.73,129.91,1028450,150.95,,,,,,10.652303445174407
13,123.23,124.83,102.01,110.38,756716,144.47,,,,,,11.884281770519092
14,108.1,122.8414,103.1,114.26,873184,138.34,,,,,,12.4455045011963
15,114.73,118.844,108.62,111.83,1147667,132.71,,,,,,12.286825608253707
16,110.43,111.57,95.34,102.1,1030376,125.79,,,,,,12.587052350521299
17,106.57,111.485,100.6006,107.63,940689,120.73,,,,,,12.465434325484065
18,106.93,115.1735,106.49,109.19,640006,117.05,,,,,,12.195296159378062
19,109.0,114.91,105.98,114.02,1064649,113.24,138.69,,,79.89848949312375,189.52924896831578,11.962060719422485
20,111.36,127.59,111.011,123.58,851278,113.66,137.23,,,77.73672696228236,188.4850407659233,12.291842096606596
21,125.67,128.18,115.6024,121.94,1226498,112.77,135.31,,,76.57582254847512,186.54751297136855,12.312253375420411
22,120.83,126.34,115.87,125.13,888475,114.41,133.43,,,76.25542813701176,183.44393436124255,12.180663848604668
23,120.59,123.98,111.16,113.39,850292,114.31,130.6,,,76.4971206305334,179.04505021931055,12.308473573704335
24,112.15,116.16,109.45,111.7801,483660,114.31,127.76,,,77.86259055260984,173.72519071246714,11.908582604154025
25,110.58,111.3,105.36,107.0,788431,114.85,124.63,,,79.19467654151973,168.14239134770673,11.516548132428738
26,111.18,121.56,108.6512,118.28,1604870,116.03,122.42,,,81.9382694620562,162.7199391006884,11.733937551540972
27,123.1,124.99,114.99,119.52,1183078,117.18,120.18,,,86.5550126921057,155.47594485285475,11.610084869288045
28,120.55,124.92,117.99,124.22,1614384,118.32,118.73,,,92.08177149074042,148.42164734591546,11.275793092910328
29,125.53,138.33,125.53,132.91,1046010,119.35,118.26,,,91.8748929756324,144.60621092237812,11.478236443416735
30,132.32,132.62,125.79,127.35,986932,119.95,117.21,,,94.83169444889751,140.50341857591897,11.166933840315538
31,130.8,133.14,128.41,130.18,1189768,120.51,117.73,,,93.88744310119395,139.85169024803795,10.782867137435858
32,127.0,128.64,123.82,126.66,1135492,121.99,117.57,,,93.53825378174027,138.2656586548321,10.466948056190441
33,127.21,128.18,123.79,124.89,1256644,123.45,118.29,,,94.48541699246158,138.59498132099992,10.032880337891124
34,128.22,130.08,126.52,127.49,1077070,125.72,118.95,,,95.2988651915484,139.27130889194365,9.686960313756046
35,125.97,126.49,117.735,118.52,1322702,125.75,119.29,,,95.86744502462304,139.55964275329453,9.6918202913449
36,115.8,118.25,115.77,117.5,1878964,125.52,120.06,,,99.21766739384961,139.0662832434632,9.195975984820265
37,119.67,123.33,117.01,122.0699,1471624,125.29,120.78,,,101.62599212627711,138.44057974695545,8.990549128761673
38,118.37,124.75,116.01,121.56,3124758,124.02,121.4,,,102.84714739917864,138.16679174271312,8.972652762421554
39,122.35,127.55,120.83,126.79,1700978,123.96,122.04,,,104.46458349983732,137.8910187994689,8.811748993677158
40,127.99,137.935,126.5,136.09,2834744,124.62,122.66,,,105.04058701350792,139.55939433304823,8.999124065557362
41,138.58,140.43,135.96,136.17,1240340,125.68,123.38,,,103.98575131645441,141.59026339423892,8.675615203731837
42,132.5,135.89,131.0,132.32,4132426,126.5,123.73,,,103.99387835512724,142.59749248979642,8.42521411775099
43,130.45,135.0,130.0,134.45,1763232,127.27,124.79,,,104.9370619010478,143.41953217214686,8.180555966483062
44,131.15,133.16,129.56,133.0,1159848,128.88,125.85,,,106.49128138144123,143.37638905031005,7.945516254591414
45,131.6,133.46,128.36,132.68,1022412,130.57,127.13,,,109.55529341105736,142.03285719054955,7.74226509354917
46,133.56,134.78,131.33,131.78,710036,131.65,127.81,,,112.0848114936323,142.201701021871,7.435674729724229
47,132.56,132.595,126.83,126.9,900930,132.24,128.18,,,113.46044342279703,142.3035426762447,7.316340820458213
48,127.27,132.33,127.27,130.97,965896,132.71,128.51,,,114.36515902776843,142.31911172880902,7.181602190425484
49,132.81,134.54,131.63,134.36,825616,132.51,128.59,130.86,,114.32345648707454,141.74601537727227,6.9236306053950925
50,132.77,139.264,132.77,137.88,1230282,132.7,129.11,130.57,,114.24177443181927,142.67167256113115,6.892942705009729
51,138.37,138.37,128.91,129.52,1165682,132.39,129.08,129.95,,114.24369890425812,143.3331352732468,7.076303940366178
52,129.72,130.34,122.86,123.91,896554,131.22,128.94,129.17,,114.14941032742117,143.3467282443141,7.105139373197166
53,122.11,124.22,118.805,122.7,946996,130.08,128.83,128.23,,113.49974764481914,143.54302309336032,6.984415132254511
54,121.41,125.31,119.89,125.11,1145848,129.24,128.71,127.36,,112.89712726629301,143.6228303097208,6.872671194236331
55,129.46,135.4599,129.46,133.74,1124008,129.45,129.47,126.64,,113.91288886134848,143.97064445588205,7.121044680362308
56,132.89,135.11,132.29,133.72,1030597,130.21,130.29,126.07,,115.45436656954413,143.0484547823888,6.813827203193574
