,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,51.11,52.07,50.38,51.63,2931325,,,,,,,1.6899999999999977
1,51.48,52.2,50.58,52.19,2364823,,,,,,,1.6849999999999983
2,52.27,52.51,50.56,50.73,3066968,,,,,50.385500114626375,52.50865840022006,1.7039285714285697
3,51.36,51.47,50.5303,51.24,2037913,,,,,50.529258674494706,52.64734231926535,1.6493408163265293
4,50.5,50.53,49.68,50.12,2103112,,,,,49.7070798561706,52.592796197929154,1.6429593294460632
5,49.06,49.23,48.32,48.78,5525428,,,,,48.28370801686409,51.64729220477623,1.6541765201999157
6,43.86,45.84,41.88,41.98,4395963,,,,,42.04340960063453,51.19684048243832,2.0288781973284933
7,44.51,44.56,42.15,43.83,4161458,,,,,40.109701189733585,49.19778475186286,2.0682440403764586
8,43.17,43.3,42.07,42.12,4646203,48.07,,,,41.88078061020556,45.963681102287694,2.046226608920997
9,39.62,39.64,36.15,37.4,3855007,46.49,,,,36.33796923811954,45.311269464138974,2.3264961368552113
10,39.62,43.44,38.37,43.4,3933584,45.51,,,,35.57359149949077,44.496785932301535,2.5917464127941248
11,37.35,41.3,36.0,39.28,2454979,44.24,,,,35.38014624020055,43.555550524325355,2.9351930975945444
12,39.68,41.94,39.04,40.55,2543826,43.05,,,,36.04634945937949,43.43493209004582,2.9326793049092195
13,38.38,39.17,35.69,37.94,2173217,41.7,,,,34.873751734193355,42.39861147000217,3.0703450688442753
14,37.04,37.882,35.59,37.43,2361361,40.44,,,,34.61334297841647,41.944973537768526,3.018891849641112
15,38.72,40.23,36.06,36.925,2985350,39.87,,,,35.50765279512984,40.38742787970582,3.1011138603810324
16,36.08,36.8,33.74,33.85,4156914,38.77,,,,33.78085100896876,40.2328580766869,3.1071057274966725
17,36.03,38.87,35.63,38.71,3972099,38.39,,,,33.78572060013806,40.53325763007087,3.2437410326754814
18,39.68,43.84,39.13,41.4,5379977,38.83,,,,33.158406316674686,43.816665703517515,3.3784738160558043
19,42.19,44.49,41.83,42.85,4500931,38.77,43.12,,,35.44388405993655,45.781726334285544,3.3578685434803903
20,41.0,41.99,39.66,40.55,3115486,38.91,42.56,,,38.6330001412129,44.866823394818105,3.3458779332317916
21,40.22,41.41,39.22,41.3,3591714,38.99,42.02,,,38.69964216024728,44.43037440550578,3.2633152237152347
22,40.89,42.84,40.83,42.43,3626317,39.49,41.6,,,38.98799496238312,42.87115927599965,3.1737927077355756
23,40.44,41.225,39.88,40.03,2552524,39.78,41.04,,,39.086391241119166,42.79725626765801,3.129236085754463
24,39.9,41.27,39.48,40.2,2789105,40.15,40.55,,,39.30056971770017,42.790009459044335,3.0335763653434307
25,40.14,40.49,39.02,39.44,2992841,40.77,40.08,,,38.9866164345898,41.47671334837254,2.9218923392474716
26,40.85,41.865,40.46,41.73,5519448,41.1,40.07,,,38.84430346161425,41.96686156836062,2.886400029301224
27,43.55,44.28,42.47,42.75,6680812,41.25,40.01,,,38.74388693934478,44.322164613439796,2.8623714557797086
28,42.3,42.985,41.58,42.81,4852100,41.25,40.05,,,40.39542343928342,44.37274526472765,2.7582734946525864
29,43.5,43.8,42.39,43.09,6389068,41.53,40.33,,,41.60505395140448,44.408483375570064,2.6619682450345445
30,43.0,43.1942,41.8,42.17,3907894,41.63,40.27,,,41.462600945353394,43.79200529936873,2.5714133703892204
31,42.83,42.93,41.55,42.25,4051624,41.61,40.42,,,41.438885935475895,43.79870762310383,2.4863124153614193
32,41.07,41.07,40.16,40.25,4494390,41.63,40.41,,,40.19807047580577,43.67153758040346,2.458004385692747
33,40.25,40.53,38.67,38.68,5116120,41.46,40.44,,,38.54234841160116,42.89495198472738,2.415289786714694
34,40.01,40.61,39.62,40.54,4969996,41.59,40.6,,,38.65355605397828,41.057243230585,2.3806262305207873
35,39.52,40.84,38.89,40.29,4860724,41.43,40.77,,,38.5129780625966,40.83702824633475,2.3498672140550174
36,39.13,39.53,38.44,38.46,4760560,40.95,41.0,,,38.32827124976116,41.09606404990482,2.3141624130510876
37,39.21,39.3,38.545,38.685,3689884,40.49,41.0,,,38.366032337924956,40.80379483474158,2.2088650978331525
38,38.88,39.345,38.66,38.66,4554336,40.0,40.86,,,38.42729167383566,39.52575090635855,2.1000175908450704
39,38.82,39.0,38.22,38.89,4361676,39.63,40.66,,,38.22398057843939,39.421304992669654,2.005730620070423
40,39.22,40.63,38.85,40.46,5490354,39.44,40.66,,,38.221189053681044,40.60321882022249,1.989607004351107
