,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,46.05,46.91,44.92,46.17,8172320,,,,,,,1.9899999999999949
1,48.1,48.82,45.61,48.82,6076817,,,,,,,2.0771428571428525
2,48.39,49.4,46.44,46.88,7658339,,,,,,,2.140204081632649
3,47.24,47.6,45.86,47.37,7783965,,,,,,,2.1116180758017458
4,45.42,45.51,43.02,43.6,9774262,,,,,,,2.2715024989587635
5,41.49,42.49,39.55,40.66,12224307,,,,,,,2.398538034747424
6,36.46,37.95,33.89,34.5,13366534,,,,,,,2.7107853179797505
7,36.32,36.87,33.93,36.34,12806409,,,,,,,2.727157795266911
8,35.08,35.49,33.305,33.65,9569395,42.0,,,,,,2.7491465241764175
9,30.32,33.16,28.94,30.21,10755819,40.23,,,,,,2.889207486735245
10,32.78,34.14,30.64,33.83,10346799,38.56,,,,,,2.963549809111299
11,28.47,30.32,24.01,27.38,10157976,36.39,,,,,,3.453296251317634
12,28.28,29.74,25.94,29.26,12370237,34.38,,,,,,3.478060804794946
13,27.23,29.47,26.04,28.36,9341254,32.69,,,,,,3.474627890166736
14,27.61,32.0,26.5201,29.97,9752505,31.5,,,,,,3.617861612297683
15,30.31,30.69,28.0,30.13,11785996,31.01,,,,,,3.551585782847849
16,28.0,29.13,25.51,25.76,11234247,29.84,,,,,,3.6279010840730024
17,26.93,30.39,26.23,30.11,8873421,29.45,,,,,,3.699479578067788
18,30.04,32.0,28.85,30.65,10492772,29.49,,,,,,3.660231036777232
19,30.83,34.67,30.54,34.2,8127449,29.54,35.39,,,17.609055514237173,51.25315066899605,3.6937859627217158
20,32.49,34.76,32.26,33.27,7328483,30.19,34.75,,,17.937673130461512,49.861092939923864,3.6085155368130217
21,33.16,33.53,31.6751,32.54,6759933,30.55,33.93,,,18.532032745900693,47.77445690137877,3.4832572841835203
22,31.81,32.43,30.21,30.81,6443098,30.83,33.13,,,19.52697761118457,45.08318032169883,3.4008817638846973
23,28.6,29.29,28.09,28.48,7532901,30.66,32.19,,,20.810422033747233,42.44793091118946,3.3522473521786478
24,28.29,29.61,27.63,28.47,7634236,30.48,31.43,,,22.073732028340423,39.83522670006623,3.2542296841658875
25,28.24,28.5675,26.41,27.21,12404316,30.64,30.76,,,22.940995561602513,37.741646928294344,3.17589184958261
26,29.15,30.39,28.46,29.71,20448420,30.59,30.52,,,23.142315437963212,36.706342225285596,3.176185288898138
27,31.92,32.33,30.42,30.56,20854244,30.58,30.23,,,23.472600377569467,35.877149645088544,3.1364577682625567
28,31.23,32.944,30.88,32.69,14303172,30.42,30.18,,,23.740220992325373,35.39983019613621,3.0827107848152315
29,33.72,36.12,33.55,36.1,16912196,30.73,30.47,,,23.422308433941176,36.01112842072726,3.1075171573284295
30,36.06,36.14,33.69,33.95,13529350,30.89,30.48,,,23.157586313440344,36.43199499255364,3.0605516460906848
31,34.73,35.2,32.79,33.36,11546780,31.17,30.78,,,23.78679666345012,36.87103907567459,3.014083671369922
32,31.69,32.115,31.15,31.32,12915604,31.49,30.88,,,24.20609504709106,36.87604745890588,2.9566491234149277
33,31.52,31.52,29.24,29.64,10698678,31.62,30.95,,,24.614397387753925,36.82786890655029,2.9083170431710044
34,30.9,33.5,30.84,33.37,14579180,32.3,31.12,,,25.02235897543024,36.93823066634895,2.9762943972302187
35,33.5,35.08,32.77,34.08,14515170,32.79,31.31,,,25.16872891435898,37.25734574704427,2.928701940285203
36,33.91,34.57,33.09,34.04,13781952,33.17,31.73,,,25.867922045631975,37.340348842359106,2.825223230264831
37,34.56,35.14,33.68,34.03,9074422,33.32,31.92,,,26.47641774792237,37.553435876864405,2.727707285245915
38,34.06,35.1819,34.06,34.28,8895350,33.12,32.11,,,26.60887925943942,37.78775446216825,2.615149622014064
39,34.59,35.81,34.23,35.48,10123468,33.29,32.17,,,26.58567682076825,37.950110392747334,2.541210363298774
40,35.6,37.74,35.24,37.45,11371068,33.74,32.38,,,26.42029598713994,38.4765051260767,2.53826676592029
41,38.85,39.64,37.46,37.53,13667476,34.43,32.63,,,26.01998643401689,39.50347204520021,2.5133905683545548
42,38.66,39.78,37.84,39.19,12845338,35.49,33.05,,,25.825053461148542,40.440967637164036,2.4945769563292295
43,37.91,38.24,36.9709,37.32,7721926,35.93,33.49,,,26.19996154336415,40.742067094027796,2.4749000308771416
44,36.19,36.38,34.97,35.45,9509724,36.09,33.84,,,26.919988594958443,40.69171574280344,2.465978600100203
45,34.88,35.65,34.26,35.56,9914299,36.25,34.26,,,28.12960092938902,40.260030525793354,2.3891229858073313
46,36.07,36.79,35.19,35.25,8460888,36.39,34.53,,,28.933798171606593,40.0950599740859,2.332757058249665
47,35.53,35.695,34.29,34.31,7785070,36.39,34.72,,,29.3698440933006,40.015683066871034,2.2664886969461175
48,34.75,36.57,34.75,35.23,9008690,36.37,34.85,,,29.76834221742636,40.01880556744268,2.2660252185928234
49,36.28,36.6,35.56,36.24,7614614,36.23,34.85,34.3,,29.819002023217667,40.0550064963126,2.202023417264765
50,35.64,35.64,33.99,34.42,8746252,35.89,34.88,34.06,,29.837999327222175,40.02911649704736,2.2054503160315675
51,34.59,34.9699,32.98,33.04,12848216,35.2,34.86,33.74,,29.859086384981936,40.026295791150595,2.190053864886456
52,32.71,32.91,30.615,31.61,18333200,34.57,34.88,33.44,,29.74789443517834,39.93071033073792,2.2068357316802807
53,30.69,32.35,29.87,32.08,15894890,34.19,35.0,33.13,,29.920675104432963,39.798233942380044,2.2263474651316892
54,31.53,32.1319,31.19,31.36,11013219,33.73,34.9,32.89,,29.993228725013314,39.95046784483168,2.134601217622283
55,33.05,34.43,32.9,34.14,11590788,33.6,34.9,32.76,,30.00841856756791,39.9535379128785,2.2014154163635484
56,33.48,33.78,32.32,32.34,10942784,33.38,34.82,32.72,,29.914311984622913,39.97842359782273,2.1741714580518665
57,33.08,33.96,33.05,33.749,9792044,33.22,34.8,32.66,,29.8596071984742,39.989227788638146,2.1345877824767334
58,33.32,34.16,33.28,33.45,8876867,32.91,34.76,32.66,,29.805201836441437,39.988936068026675,2.0449743694426807
59,33.49,33.82,32.76,33.28,6138212,32.78,34.65,32.72,,29.694224738168934,39.965877499434015,1.9746190573396323
60,35.19,36.94,34.795,36.18,14084215,33.13,34.59,32.77,,29.695114967823976,39.856566092433184,2.095003410386801
61,39.36,39.74,37.83,39.52,15447169,34.01,34.69,33.01,,29.646734670903673,39.88175061985747,2.199646023930601
62,40.22,40.3,37.76,38.15,15027914,34.69,34.63,33.19,,29.657684799766297,40.01944326158715,2.2239570222212723
63,37.43,37.74,36.285,36.78,12486838,35.29,34.61,33.36,,29.71410938319287,39.93633484537344,2.198317234919753
64,37.07,38.435,36.84,38.07,11356894,35.72,34.74,33.52,,29.63152858522066,40.214995572625064,2.1595088609969135
65,38.56,38.8719,37.25,37.6,12961303,36.31,34.84,33.67,,29.550089433797133,40.59993143482423,2.1211082280685623
66,39.0,40.23,38.51,39.98,10202292,37.0,35.08,33.95,,29.33973983332348,41.153283658967545,2.1574576403493793
67,39.66,41.8826,39.36,41.88,10917434,37.94,35.45,34.19,,29.113264919822303,42.09450868250059,2.1835392374672806
68,45.2,45.8,43.41,44.3,17179734,39.16,35.91,34.46,,28.27409253085586,43.95133503426557,2.3075721490767602
69,45.36,46.53,45.27,46.42,18389920,40.3,36.42,34.71,,27.349625111766237,45.671451625037086,2.3020312812855637
70,44.61,45.405,44.07,44.68,16635678,40.87,36.93,34.93,,27.0450118382268,46.87187650059698,2.3054576183365953
71,44.25,44.54,41.5,41.5,17540494,41.25,37.35,35.11,,27.271368900970355,47.73762784239883,2.367924931312553
72,38.3,39.27,37.4525,37.49,21775860,41.32,37.65,35.25,,28.027587723759765,47.731981257406794,2.4878945790759426
73,40.09,40.09,37.8,37.82,3165506,41.3,37.93,35.43,,29.046380644500616,47.66781089898945,2.495902109141947
74,37.5,39.885,37.3966,39.84,12201700,41.55,38.36,35.66,,29.8611862124979,47.4601603364322,2.4953662442032365
75,41.85,41.96,39.785,41.08,11502483,41.67,38.71,35.94,,30.460742883958837,47.5836456765899,2.472482941045863
76,41.4,41.48,40.2,40.275,6470712,41.49,39.1,36.15,,31.2649961812842,47.498147303270954,2.3873055881140153
77,39.68,41.11,39.51,40.5,6802302,41.07,39.44,36.35,,32.0133046729066,47.28915020435143,2.3310694746773
78,41.45,41.45,39.19,39.39,14479198,40.29,39.74,36.48,,32.796105397228125,47.001025013026734,2.325993083628922
79,38.73,39.79,38.59,39.54,3664992,39.72,40.05,36.55,,33.80301721360315,46.403913333774625,2.245565006226856
80,40.2,40.87,39.815,40.02,3243053,39.55,40.24,36.67,,34.45751852158816,46.23637432713916,2.18016750578208
