,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,123.86,125.3,119.76,119.81,1710368,,,,,,,5.539999999999992
1,115.46,118.11,113.69,118.05,2699103,,,,,,,5.581428571428565
2,119.11,125.67,117.76,125.52,2329470,,,,,,,5.74775510204081
3,124.44,126.59,121.1,123.53,2614247,,,,,,,5.72934402332361
4,125.36,128.94,124.035,128.75,1672126,,,,,,,5.706533735943353
5,125.04,125.23,119.9595,122.02,1803844,,,,,,,5.926817040518827
6,116.8,118.37,113.89,116.74,3827240,,,,,,,6.08418725191034
7,106.15,110.81,103.5025,103.63,2792954,,,,,,,6.595138162488173
8,108.13,113.73,106.2,112.76,2507561,118.98,,,,,,6.845485436596162
9,109.08,110.15,103.97,105.52,2153542,117.39,,,,,,6.984379333982151
10,97.08,100.81,91.68,91.73,3223840,114.47,,,,,,7.474066524411996
11,97.35,107.36,95.01,107.33,2624107,112.45,,,,,,8.05663320123971
12,91.84,108.55,88.3,97.6,6834312,109.56,,,,,,8.927587972579731
13,99.3,108.96,97.1,108.15,3147076,107.28,,,,,,9.137045974538323
14,101.55,109.535,98.61,108.38,6483640,105.76,,,,,,9.264756976357015
15,107.12,109.16,100.615,102.61,2801103,104.19,,,,,,9.213345763760087
16,102.4,102.4,90.0,90.33,3424322,102.71,,,,,,9.455963923491508
17,89.975,90.545,82.51,85.41,3199008,99.67,,,,,,9.354466500384971
18,90.15,93.03,87.49,89.5,2751944,97.89,,,,,,9.23057603607176
19,92.09,95.67,88.84,92.99,4304985,98.03,107.52,,,76.85241593298905,134.29223258127902,9.059106319209492
20,94.72,102.03,93.01,101.32,1851893,97.37,106.59,,,76.35163914239442,132.5200558340768,9.0577415821231
21,99.22,101.89,95.66,98.41,1437867,97.46,105.61,,,75.94020403792628,131.6901602703792,8.85576004054288
22,97.84,100.33,95.72,98.83,1764609,96.42,104.28,,,76.04071534092787,129.40031361346723,8.552491466218388
