,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,52.55,53.67,51.98,53.25,3475058,,,,,,,1.6900000000000048
1,53.66,54.64,52.97,53.03,4085417,,,,,,,1.6885714285714333
2,53.81,54.93,53.81,54.7,2860183,,,,,,,1.7036734693877595
3,54.2,55.25,53.92,54.63,2333965,,,,,,,1.676982507288634
4,53.38,54.09,52.81,54.02,3418007,,,,,,,1.687198042482303
5,45.34,49.92,44.94,46.97,4401193,,,,,,,2.215255325162139
6,48.08,48.48,44.7,47.43,4311762,,,,,,,2.3270228019362715
7,46.01,47.23,45.43,45.89,3847807,,,,,,,2.303664030369395
8,41.76,42.06,35.825,35.91,3868495,49.54,,,,,,2.858045171057295
9,38.38,42.49,37.34,42.35,4338785,48.33,,,,,,3.123899087410346
10,37.44,41.47,34.83,38.48,3141927,46.71,,,,,,3.437906295452464
11,38.99,45.11,37.41,38.02,3816138,44.86,,,,,,3.742341560063003
12,35.88,37.12,32.37,34.33,3544778,42.6,,,,,,3.8786028772013603
13,34.4,38.145,33.95,37.14,2692008,40.72,,,,,,3.9012026716869777
14,37.55,41.37,36.13,36.6,3234670,39.57,,,,,,3.996831052280765
15,36.24,37.355,32.52,33.5,4456444,38.02,,,,,,4.0567002628321385
16,34.87,38.58,33.44,38.37,3250653,37.19,,,,,,4.134078815486986
17,38.66,43.1,37.685,41.32,5138542,37.79,,,,,,4.225573185809344
18,41.42,44.14,41.19,43.42,3639567,37.91,,,,,,4.134460815394391
19,41.95,43.13,41.29,41.64,3266381,38.26,43.55,,,26.15502267228927,58.140449742760104,3.9912850428662203
20,40.88,41.93,39.68,41.2,2767637,38.61,42.95,,,26.291583996178925,57.05427663097073,3.8669075398043473
21,42.51,44.88,42.06,44.3,5595931,39.72,42.51,,,26.819556952256804,55.683618998942,3.853557001246894
22,42.91,43.72,40.13,40.8,3336603,40.13,41.82,,,27.629975233328643,53.9929811463989,3.8761600725864014
23,41.1,43.72,40.94,42.2,3092266,40.75,41.19,,,28.884499488890363,51.89657746540636,3.8078629245445157
24,42.68,43.35,41.44,42.93,3015338,41.8,40.64,,,30.421124442319215,49.71300009222823,3.6723012870770506
25,44.41,45.2,43.18,44.95,3592500,42.53,40.54,,,30.581319982179835,48.73882005075695,3.57213690942869
26,46.46,46.57,44.45,45.83,6118766,43.03,40.46,,,30.608441136996323,48.30879958211329,3.4684128444694977
27,45.94,47.19,45.75,46.02,4273970,43.32,40.47,,,30.565240277380084,48.29997521584253,3.3235262127216765
28,46.97,48.67,46.38,47.39,4666420,43.96,41.04,,,30.48966709352461,49.24177016579917,3.275417197527271
