,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,93.75,95.48,91.44,91.46,1133678,,,,,,,4.040000000000006
1,90.39,94.35,88.76,90.41,1809018,,,,,,,4.150714285714291
2,88.27,90.26,86.62,88.55,2940865,,,,,,,4.124948979591841
3,88.5,91.53,87.68,91.47,1483418,,,,,,,4.1053097667638525
4,91.08,94.8,90.8,93.2,2122940,,,,,,,4.097787640566435
5,94.53,96.38,93.04,96.36,1433765,,,,,,,4.043659951954546
6,94.58,95.895,92.46,93.66,1057599,,,,,,,4.033398526814937
7,91.9,92.87,89.52,91.47,3250400,,,,,,,4.041012917756727
8,86.51,86.64,77.5,80.85,3901431,90.83,,,,,,4.750226280774104
9,83.33,87.15,80.35,86.95,2450659,90.32,,,,,,4.89663868929024
10,83.43,85.11,82.0,83.3,2225536,89.53,,,,,,4.900450211483795
11,77.07,81.88,71.79,76.51,2784628,88.2,,,,,,5.372560910663523
12,79.96,81.18,71.09,76.3501,2171049,86.52,,,,,,5.7095208456161295
13,70.68,74.7,66.87,67.35,4262154,83.64,,,,,,5.97884792807212
14,68.66,71.06,63.8901,70.57,3407814,80.78,,,,,,6.063923076066969
15,66.93,72.96,64.19,72.52,3824698,78.43,,,,,,6.2572142849193275
16,71.81,80.28,71.5,76.39,2026867,76.75,,,,,,6.437413264567947
17,75.82,79.49,74.54,75.92,2233764,76.21,,,,,,6.331169459955951
18,76.37,79.9,74.81,78.06,1873178,75.22,,,,,,6.242514498530526
19,80.65,84.64,78.67,80.02,1824000,74.85,83.07,,,60.342027676752245,101.8267277551732,6.266620605778345
20,80.08,82.73,75.838,76.63,1469380,74.87,82.33,,,60.273210597933684,100.57408720354786,6.311290562508464
21,77.7,83.88,77.7,83.49,1378710,75.66,81.98,,,60.27395921628508,99.43856750389644,6.378341236615002
22,83.0,85.73,82.405,83.09,1442711,77.41,81.71,,,60.36070800832371,98.98818400958942,6.160245433999645
23,84.09,86.5,82.15,85.41,1007005,79.06,81.41,,,60.525014170871884,98.39041256946143,6.030942188713955
24,84.78,86.79,84.09,84.66,1357752,80.41,80.98,,,60.97733386735053,97.15729644672673,5.793017746662959
25,82.7,87.25,81.01,84.0,1617355,81.25,80.36,,,61.89803763352187,95.45600028610016,5.824945050472747
26,83.01,86.71,82.235,84.15,1394173,82.17,79.88,,,62.94985065832948,93.60951884529456,5.728520404010409
27,83.82,84.92,79.225,79.51,1346536,82.33,79.29,,,63.77382817590677,92.19398955111777,5.726126089438238
28,82.59,88.37,82.04,87.89,4781478,83.2,79.64,,,63.72735316929076,92.46560074559761,5.949974225906935
29,90.02,90.75,85.71,86.59,2817773,84.31,79.62,,,63.41921402582162,93.1163933285575,5.884976066913583
30,87.34,91.21,85.22,90.6,4465560,85.1,79.99,,,63.22757819120376,94.05393915913712,5.892477776419756
31,92.29,92.29,87.83,88.23,1882574,85.67,80.57,,,63.38073446068785,95.30260322939961,5.790157935246917
32,88.16,89.89,86.43,89.59,1352566,86.14,81.23,,,63.960749432298655,96.00846496483486,5.62371808272928
33,89.58,93.56,89.44,92.92,2554520,87.05,82.51,,,65.33187696354273,96.83715558833502,5.516309648248617
34,88.8,91.95,88.3,90.73,2510677,87.8,83.52,,,68.0770254117256,96.31259453309764,5.452287530516573
35,91.96,92.1259,89.66,91.18,3503929,88.58,84.45,,,71.37872188135704,95.60116288684907,5.238974135479675
36,93.12,93.99,90.41,92.7,2301864,90.05,85.27,,,72.88885998309435,96.23445383363169,5.120475982945413
37,91.42,94.36,90.44,93.42,2903157,90.66,86.14,,,73.95306653257148,96.57522054593767,5.034727698449313
38,91.44,94.44,91.42,93.1219,4327172,91.39,86.9,,,75.14281101842576,96.69306373543368,4.890818577131505
39,94.11,96.2,92.63,95.47,5180090,91.93,87.67,,,75.59621962307651,97.59347458427393,4.7964743930506835
40,95.4,97.26,93.11,95.1,6391724,92.69,88.59,,,76.91186146862873,98.30040658605509,4.75029765068992
41,97.0,102.01,96.25,101.98,5681598,94.07,89.52,,,77.65429930070336,100.157136104651,4.9045621042120695
