,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,88.63,91.35,87.67,90.3,9779282,,,,,,,3.6799999999999926
1,92.05,93.135,89.41,92.75,7702805,,,,,,,3.68321428571428
2,94.86,96.0,90.571,91.3,7608250,,,,,,,3.8079132653061167
3,92.29,95.88,91.43,95.81,5420721,,,,,,,3.863062317784251
4,92.78,94.25,91.94,93.01,4339053,,,,,,,3.863557866513948
5,90.27,94.48,90.14,93.96,4921735,,,,,88.6633701035533,95.93738959766705,3.8975894474772375
6,88.71,92.0,87.1,87.16,7874654,,,,,88.37489752262884,95.8444111931996,4.109190201228864
7,90.48,92.95,87.19,92.91,7799846,,,,,87.63002591152522,95.84266863240539,4.229248043998231
8,89.82,91.17,87.31,88.0,4953468,91.69,,,,86.93178230079737,95.19606576555856,4.327158897998357
9,82.22,92.44,82.0,86.13,8215245,91.23,,,,84.23255433040121,94.17270371751636,4.763790405284189
10,91.0,94.6,87.51,94.2,8630853,91.39,,,,84.22290083141674,94.31067866402013,5.028519662049604
11,85.86,94.21,85.5,87.01,7684347,90.91,,,,83.96576950934221,94.20823646004823,5.2914825433317745
12,89.05,97.21,87.79,96.65,8593673,91.0,,,,83.99924774669083,95.85699678925613,5.64209093309379
13,91.0,101.84,90.3115,99.28,8812905,91.7,,,,83.95191917265224,99.07425971958028,6.062548723587092
14,98.67,103.8,95.46,96.25,6714225,91.95,,,,83.54608750839786,101.89560007039776,6.225223814759444
15,96.15,97.73,90.91,93.59,6168245,92.67,,,,86.08700532276941,102.09649999640635,6.267707827990913
16,94.18,96.13,90.25,91.91,6364521,92.56,,,,86.69251372418704,102.1066813996017,6.240014411705848
17,93.93,96.69,92.16,95.25,5442342,93.36,,,,88.5991166270901,102.04437911200287,6.135727668012573
18,95.63,97.79,91.05,94.34,4818050,94.28,,,,89.7191760858609,102.087153144014,6.178889977440248
19,94.5,100.03,93.53,99.54,5306908,94.87,92.97,,,90.26794599575256,101.53023367643655,6.201826407623088
20,95.6,99.55,95.0,97.52,3951390,96.04,93.33,,,90.33977349483563,99.52629865732763,6.083838807078582
21,98.13,98.81,95.91,97.84,3435850,96.17,93.58,,,90.75542250328061,99.73318722722968,5.856421749430112
22,96.91,97.31,93.16,93.51,4532331,95.53,93.69,,,91.68134238017599,99.6766294410968,5.772391624470819
23,90.91,92.88,89.08,90.46,4854742,94.88,93.43,,,90.42789295834159,100.31565949496557,5.67650650843719
24,89.76,93.56,88.35,93.04,3452466,94.82,93.43,,,89.39715991402396,100.11720900418156,5.643184614977391
25,92.17,93.4,88.82,90.0,5978546,94.61,93.23,,,88.33992307779845,98.90572963557824,5.567242856764722
26,93.21,96.13,92.42,95.66,8115252,94.66,93.65,,,88.26520909813594,97.77852194055428,5.607439795567241
27,96.25,97.45,92.69,92.92,8126244,94.5,93.66,,,88.53367870554405,97.20275692580164,5.546908381598153
28,97.0,99.5,93.76,98.75,10856530,94.41,94.19,,,88.49442115466573,98.14133550979315,5.620700640055428
29,98.58,100.01,96.12,98.63,9509072,94.53,94.82,,,89.0549623296462,99.51856642264603,5.497079165765754
30,98.58,100.25,98.19,98.42,5582896,94.6,95.03,,,90.42671810740434,100.47504748561362,5.251573511068201
31,100.56,101.83,99.56,101.45,7244358,95.48,95.75,,,92.47328156469511,101.2566862030872,5.120032545991901
32,99.94,99.98,97.94,99.925,6694300,96.53,95.91,,,93.67962631348955,101.25118660879079,5.0050302212781945
33,100.18,102.49,99.595,102.16,6294046,97.55,96.06,,,95.28296051493875,101.86953994856499,4.854313776901181
34,102.16,103.75,99.83,102.74,9101536,98.96,96.38,,,97.11393539888394,102.94481729699355,4.787577078551097
35,101.74,103.0,101.05,101.16,5774222,99.57,96.76,,,98.21562410936353,103.39281889691682,4.584893001511733
36,100.36,102.11,100.25,100.62,6215001,100.43,97.2,,,98.67751961598881,103.47393735748247,4.3902577871180375
37,101.5,101.77,97.79,97.91,5978208,100.34,97.33,,,98.11370375069204,103.46757110986343,4.360953659466749
38,98.36,100.24,98.057,99.45,6962370,100.43,97.59,,,98.15912002842705,103.42307239494906,4.215885540933409
39,100.19,100.45,98.59,100.15,4940882,100.62,97.62,,,97.95226630122033,103.26873275288213,4.047608002295308
40,101.0,103.49,99.8,102.69,7599028,100.76,97.87,,,97.9498190227887,103.15771024528321,4.02206457355993
41,99.25,99.32,96.18,96.44,19390516,100.37,97.8,,,96.9731151081383,102.74064224752263,4.199774246877077
42,96.1,97.1549,94.11,96.11,17757926,99.7,97.93,,,95.41768665262471,102.55589676367833,4.117283229242999
43,95.6,95.74,92.82,94.6,10551096,98.79,98.14,,,93.87299727822528,102.1186598703627,4.058191570011357
44,93.23,93.71,91.25,91.89,10075318,97.76,98.08,,,92.12165584417353,101.81884323464854,4.007606457867689
45,91.61,91.8,89.6,90.44,8220006,96.63,98.11,,,90.30733521932285,101.03749412386979,3.8849202823057114
46,91.53,93.85,91.4,92.71,8530738,96.05,97.96,,,90.21915399908511,97.9705013911879,3.8509974049981603
47,93.14,94.43,92.7,92.92,6433034,95.33,97.96,,,90.41190561508586,96.28656168992022,3.699497590355435
48,93.99,94.27,92.45,92.82,5675772,94.51,97.66,,,90.47701091787076,95.2492681896138,3.5652477624729033
49,93.54,94.98,93.31,94.82,5374766,93.64,97.47,95.14,,90.45731404315656,94.93646705376844,3.4648729222962684
50,94.21,94.8582,93.1,93.92,5034255,93.36,97.25,95.21,,90.70147606095736,95.1985259559954,3.3429677135608213
51,94.76,95.16,92.86,92.86,6114190,93.0,96.82,95.22,,91.96048128774615,95.08624443608693,3.2684700197350485
52,92.56,93.23,90.3765,90.71,6638340,92.57,96.36,95.2,,91.39926092933824,95.19005157146279,3.238829304039689
53,90.0,91.8,88.85,91.69,7208104,92.54,95.83,95.12,,90.02211396132941,95.35610626912137,3.2181986394654256
54,90.84,91.89,90.64,91.05,5187666,92.61,95.25,95.08,,89.69480323518451,95.21541561903241,3.0776130223607527
55,93.33,97.05,93.06,96.09,10075344,92.99,94.99,95.13,,89.6997689192935,96.06053589252359,3.2863549493349846
56,95.93,97.47,95.41,96.43,6734781,93.38,94.78,95.31,,89.50847648704493,96.94121424491314,3.1987581672396286
57,97.5,98.46,96.473,97.2,5802434,93.86,94.75,95.4,,89.43999199002145,97.99392574458173,3.115275441008226
58,96.73,97.99,96.6,97.31,8229850,94.14,94.64,95.58,,90.27773459650503,98.85913104872634,2.99204148093621
59,96.79,97.57,95.7,96.71,4146152,94.45,94.47,95.79,,92.30562525839187,99.1616072895064,2.9118956608693374
60,98.15,98.94,96.78,97.07,9700556,94.92,94.19,95.85,,94.28324317446308,98.60882356810802,2.8631888279500997
61,97.78,99.74,96.92,99.59,7367843,95.9,94.35,96.1,,95.69971920170522,99.233891790512,2.860103911667949
62,100.0,101.1,98.33,99.7,10192031,96.79,94.53,96.16,,95.93880080654638,100.25594036401223,2.853667917977381
63,99.33,100.4105,98.35,99.93,6298248,97.78,94.79,96.18,,96.07226337090756,100.67051770160913,2.7970130666932826
