,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,124.54,135.36,124.1,132.37,2085792,,,,,,,11.26000000000002
1,134.52,135.8,127.0,135.77,1757495,,,,,,,11.084285714285734
2,135.41,138.61,126.57,128.64,1364712,,,,,124.1684736423743,138.52946564805876,11.152551020408183
3,131.06,132.33,126.38,130.16,1389154,,,,,126.3005876361661,139.04035243869754,10.780940233236171
4,125.36,125.74,118.67,119.86,1762880,,,,,118.91539118629962,139.30585110651091,10.831587359433588
5,114.05,118.36,111.65,115.64,2486918,,,,,110.79553771061892,133.16426072029176,10.644331119474046
6,101.05,106.77,97.9,98.96,3038411,,,,,97.78498923467204,127.47546423736506,11.151164610940185
7,104.97,108.85,97.96,107.42,2450325,,,,,93.78990058077628,118.12377960771228,11.13250999587303
8,102.34,104.21,98.38,99.72,2495064,118.73,,,,97.7923126697252,109.16654767215397,10.983044996167813
9,91.02,94.05,83.0001,83.23,3241374,113.27,,,,83.47641727258797,110.69658585495853,11.392820353584398
10,90.2,91.56,83.01,90.99,2266086,108.29,,,,78.3656271417601,103.97814686628247,11.189761756899799
11,78.0,90.385,76.09,83.22,2467050,103.24,,,,76.30838338097674,94.05687932099727,11.454778774264097
12,85.1,86.03,74.6201,81.52,2389721,97.84,,,,72.97839251662393,92.52974480263153,11.451573147530949
13,73.94,75.54,58.85,69.59,2775281,92.25,,,,59.34012220532012,92.37894604759842,12.25288935127874
14,67.81,79.4,63.58,77.71,2651991,88.04,,,,56.78137398670822,86.15949768445694,12.507682969044545
15,79.53,82.04,69.97,70.0,2164853,84.82,,,,57.99465983384389,82.5892623278111,12.476419899827079
16,69.16,72.54,63.77,70.9,1985216,80.76,,,,61.774105866267476,83.38743245490366,12.211675621268002
17,77.52,89.68,77.325,86.61,2300131,79.31,,,,62.89073401130422,90.86548421204509,12.680841648320287
18,89.32,101.15,82.54,93.48,2205382,80.45,,,,63.88722465755632,103.62817038044463,13.104352959154552
19,95.13,101.26,90.29,99.17,2304716,81.36,98.75,,,76.20895838571151,104.68294140571862,12.951899176357799
20,92.1,92.99,86.45,90.2,2465380,82.13,96.64,,,82.16410871007143,103.68424314749834,12.9353349494751
21,88.43,95.49,86.0,95.025,2104058,83.63,94.6,,,84.9865414983077,101.24551744182726,12.689239595941165
22,95.12,105.74,94.64,102.66,2870092,87.31,93.3,,,83.68002925241643,105.5051203548597,12.575722481945368
