,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,122.63,128.52,116.0,120.53,5462514,,,,,,,12.52000000000001
1,120.84,122.77,116.67,121.64,3389101,,,,,,,12.06142857142858
2,121.96,126.4,116.62,120.59,2220824,,,,,,,11.89846938775511
3,122.49,128.2,121.75,125.46,2130931,,,,,115.08260076442332,129.11133023326624,11.592150145772601
4,122.22,124.2,120.28,121.84,1836632,,,,,116.2365081453762,127.7867065491515,11.134139421074558
5,117.76,119.53,114.56,117.02,1865915,,,,,115.00437553297333,128.32699262250574,10.85884374814066
6,106.87,112.52,105.65,109.06,2298663,,,,,108.2615389750076,127.84799490881454,10.895354908987755
7,113.93,114.49,106.2,113.85,2035793,,,,,104.63343105114983,122.93649185152816,10.709258129774344
8,110.67,112.21,104.27,106.02,1699136,117.33,,,,103.00547430063892,118.07004711718847,10.628596834790462
9,96.7378,101.325,96.38,97.82,2510523,114.81,,,,98.55563461736755,116.09656231704066,10.557982775162573
10,103.52,108.08,97.06,108.0,2058365,113.3,,,,95.9908887592207,114.80533495496188,10.590984005508105
11,96.56,103.51,95.24,95.98,1667585,110.56,,,,94.1463357402813,111.13339106520687,10.745913719400383
12,97.41,99.32,86.0,95.84,1915519,107.27,,,,88.50182817623103,106.81821444545855,10.929777025157497
13,90.0,93.56,87.82,93.0,1340897,104.07,,,,86.09278257439223,107.29669290846309,10.72193580907482
14,91.76,105.68,86.81,100.22,2204295,102.2,,,,84.7200743090668,105.8543928226076,11.303940394140904
15,103.85,113.19,102.22,105.62,2141161,101.82,,,,83.0047922776397,111.3766720565468,11.422944651702268
16,104.67,109.36,99.27,105.66,1572162,100.91,,,,86.17238797937529,113.94496383732621,11.32773431943782
17,113.58,115.79,106.08,112.46,1596603,101.62,,,,90.25818006271778,115.42963181142422,11.242181868049405
18,114.0,123.28,112.07,116.2,1759142,103.66,,,,99.38188398578082,121.28185006331346,11.239883163188734
19,116.74,127.865,116.6,124.72,1530199,105.52,110.58,,,100.99047850270335,127.24113572514693,11.270248651532397
20,119.47,120.21,112.57,115.72,1947948,107.72,110.34,,,107.49331155526859,126.87290144438533,11.333088033565797
21,116.46,123.0,116.1,120.49,1346569,110.45,110.28,,,111.99043891811988,126.75861954253129,11.043581745453954
22,120.32,124.75,120.01,121.03,1467212,113.57,110.3,,,113.27558434725694,127.16338624853506,10.593325906492959
23,116.88,120.77,114.2,115.99,1148072,115.32,109.83,,,112.51680367965575,124.27584461249639,10.324516913172033
24,114.57,119.0,112.252,118.2,1144909,116.72,109.65,,,112.33088557129884,124.39779003625551,10.069051419374032
25,117.86,119.8,114.73,116.77,1209703,117.95,109.63,,,111.98090850292003,123.63145710003799,9.711976317990173
26,122.56,123.49,119.08,122.69,1348301,119.09,110.31,,,112.18489572311637,122.7205135727819,9.498263723848018
27,126.29,127.67,122.64,123.57,1734661,119.91,110.8,,,112.56720302606264,126.45856817168789,9.179102029287446
28,124.9,131.5,124.1,130.46,1542501,120.55,112.02,,,115.96124669510255,130.68734659699047,9.089880455766915
29,132.0,134.65,129.84,131.43,1000236,122.29,113.7,,,119.4375490883018,134.1535568790681,8.78417470892642
30,130.29,131.89,127.77,129.905,2105521,123.34,114.8,,,122.78358943825648,134.29818371646903,8.451019372574532
31,133.1,137.0,131.64,136.27,1739672,125.03,116.81,,,125.10008976958427,136.33515048104,8.354160845962065
32,131.83,135.39,131.83,133.64,1460713,126.99,118.7,,,128.37743560215233,136.8663912030999,8.074577928393346
33,135.24,139.13,134.09,135.24,1417063,128.89,120.81,,,128.70969774541285,138.90613581107297,7.889965219222393
34,137.67,138.5,134.43,136.61,1207609,131.09,122.63,,,131.5310445227804,139.17422137537253,7.617110560706508
35,133.58,136.51,132.065,132.55,1621290,132.19,123.98,,,131.75800748500413,139.11780736950757,7.397674092084616
36,129.91,130.59,121.78,124.96,1790183,132.34,124.95,,,124.62503068483336,140.0744521665441,7.638554514078573
37,127.59,128.9333,126.2,127.97,623755,132.06,125.72,,,122.89551901421342,138.22722844795877,7.376750620215819
38,127.49,128.75,126.0,126.42,949891,131.51,126.23,,,122.28485994267355,134.8339820044691,7.046268433057546
39,127.62,129.61,126.3835,128.17,637168,131.31,126.4,,,122.87807592887583,130.30358029969346,6.773427830696294
40,130.06,131.36,129.7213,129.95,574472,130.61,127.12,,,125.3058591495794,130.85337383198166,6.517468699932275
41,132.14,132.53,129.2,129.63,734559,130.17,127.57,,,125.92049626471798,132.26538725404848,6.289792364222828
42,131.44,135.32,130.12,134.79,1004757,130.12,128.26,,,127.16524049131829,134.60339529686004,6.246950052492626
43,134.05,134.32,131.0,131.62,640867,129.56,129.04,,,129.2505778342703,135.15733097786813,6.071453620171724
44,129.0,129.0,124.9,125.25,822772,128.75,129.39,,,126.09992452354203,135.57179697345697,6.117778361588029
45,124.43,126.53,122.7728,126.34,680069,128.9,129.87,,,123.20418418964893,135.5084805107077,5.949165621474599
46,126.97,130.29,126.02,126.74,897741,128.77,130.08,,,122.68487533621067,133.28986814889137,5.829225219940699
47,128.43,129.58,126.75,126.87,836475,128.82,130.24,,,123.37631231938539,130.48415625527906,5.6157091328020785
48,129.02,133.76,127.97,133.3,1419650,129.39,130.38,,,123.65714327852685,133.00831040605047,5.706729909030501
49,135.0,140.96,134.3878,140.83,1478617,130.6,130.85,120.9,,124.95912357487057,138.85335167543863,5.846249201242608
50,139.3,142.69,138.25,141.14,928291,131.88,131.41,121.31,,126.4091527819218,142.89449587874708,5.745802829725278
51,141.66,141.8799,136.85,138.05,1077095,132.24,131.5,121.64,,129.81234449338723,143.92545211048534,5.694666913316329
52,137.5,139.03,132.2,134.69,946802,132.58,131.56,121.92,,132.7456576872407,142.71418930217314,5.7757621337937355
53,130.03,134.1,128.8,133.81,781174,133.53,131.48,122.09,,129.68670156244013,143.30648711975863,5.783921981379896
54,134.01,135.245,132.0,134.48,804318,134.43,131.38,122.34,,129.14854591663257,141.12991837237436,5.602570411281333
55,138.0,140.73,136.96,139.04,933645,135.8,131.7,122.78,,129.12740179821202,140.3970708722493,5.648815381904094
56,139.0,141.6835,137.72,139.32,829397,137.18,132.42,123.39,,129.64419041287144,141.7609038735143,5.528435711768088
57,140.46,141.44,136.125,139.94,1106742,137.92,133.02,123.91,,133.14921690525617,142.8213457337015,5.513190303784653
58,139.46,140.89,135.32,136.46,1044753,137.44,133.52,124.52,,135.49376606438085,141.6359024760129,5.517248139228606
59,135.24,135.8,133.24,134.6,1293095,136.71,133.84,125.25,,133.7377390886641,142.7421128678953,5.353158986426562
60,139.32,139.66,136.3,137.93,1403775,136.7,134.24,125.85,,133.84231876355432,141.99048217322363,5.3322190588246645
61,138.95,140.25,134.45,139.83,1168971,137.27,134.75,126.73,,133.52705456349193,141.43911919013985,5.365631983194333
62,140.32,143.72,139.61,142.61,1969799,138.25,135.14,127.66,,133.1249804805489,143.10173976713597,5.275943984394736
63,154.5,157.0,151.18,156.55,4792888,140.7,136.39,128.93,,132.87846728953144,153.2531217591156,5.926947985509397
64,153.92,156.09,152.18,154.14,2109428,142.38,137.83,130.01,,135.6288840255243,157.79784048055893,5.815737415115869
65,154.58,155.9866,151.93,152.95,1601534,143.89,139.16,130.96,,142.63349498618504,159.5349645140672,5.690084742607593
66,151.94,152.49,149.3,149.32,1195097,144.93,140.29,131.83,,149.84459619183423,157.37894469966864,5.544364403849906
67,148.51,150.15,146.88,148.07,1270732,146.22,141.35,132.55,,147.577125946543,156.56621890981114,5.3819098035749136
68,148.96,152.19,148.7,149.79,1425853,147.91,142.18,133.22,,147.11321982092718,155.1268462025806,5.291773389033849
69,151.2,153.19,148.64,151.87,1181404,149.46,142.73,133.76,,147.3365442031404,153.31071819317899,5.238789575531432
70,151.62,151.85,146.44,146.44,1128387,150.19,142.99,134.37,,146.4904504409491,153.1100559934901,5.252447462993473
71,147.05,147.81,144.27,144.79,1348041,150.44,143.33,134.86,,144.90335522861358,153.62927555735195,5.130129787065368
72,142.29,142.86,135.94,136.31,1437458,148.19,143.41,135.17,,138.27291518069438,153.57412153254015,5.395834802274983
73,139.47,140.68,136.5311,136.575,335864,146.23,143.55,135.58,,135.4506977511273,150.81665891472267,5.3225608878267705
74,133.47,137.93,132.41,136.9,1338246,144.45,143.67,135.95,,132.2900018489688,146.4990509289391,5.33666368155343
75,140.02,142.05,138.33,139.51,1169133,143.36,143.7,136.41,,133.32305213863657,143.04269893111987,5.3233305614424715
