,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,199.14,207.23,197.04,198.71,480439,,,,,,,10.189999999999998
1,193.43,196.61,189.12,195.12,966317,,,,,,,10.147142857142855
2,195.28,202.82,191.51,202.69,859727,,,,,,,10.230204081632651
3,202.77,207.39,199.08,201.36,626235,,,,,,,10.093046647230317
4,204.67,208.69,201.43,208.4,391063,,,,,,,9.895686172428151
5,203.47,203.47,196.83,198.96,603899,,,,,,,10.01528001725471
6,194.36,200.3,193.69,200.01,502036,,,,,,,9.772045730307946
7,189.76,193.67,187.62,190.75,578972,,,,,,,9.95904246385738
8,195.76,196.77,186.98,196.74,471835,199.19,,,,,,9.946968002153284
9,191.78,191.78,182.84,184.25,567704,197.59,,,,,,10.229327430570908
10,172.22,182.48,166.22,167.03,923231,194.47,,,,,,10.786518328387274
11,177.42,185.62,166.14,184.54,818192,192.45,,,,,,11.407481304931043
12,164.2,181.19,163.01,173.91,646834,189.4,,,,,,12.130518354578825
13,177.19,190.45,172.22,183.26,915765,186.61,,,,,,12.566195614966052
14,175.97,184.93,161.01,176.8,543440,184.14,,,,,,13.377181642468479
15,176.24,188.49,168.96,177.42,554574,181.63,,,,,,13.816668668006445
16,178.44,181.14,170.47,173.6,713036,179.73,,,,166.574094936642,204.77824032429982,13.591906620291699
17,173.57,174.01,154.39,162.35,562324,175.91,,,,163.04568940029498,203.45212630818062,14.022484718842293
18,169.16,180.95,167.94,179.74,637456,175.41,,,,161.7659455016643,202.8567372371499,14.349450096067843
19,177.82,185.33,173.65,176.94,507647,176.51,186.63,,,161.11753112948188,201.45534536762221,14.158775089205854
20,178.16,192.72,176.07,191.39,432457,177.27,186.26,,,161.0069679376085,199.52903878187448,14.33671972569115
21,185.06,189.23,181.71,185.62,397969,178.57,185.79,,,161.58633610641024,196.7841573427809,14.004096888141781
22,186.93,189.12,181.74,188.4,368287,179.14,185.07,,,162.0810945437309,194.78393117547373,13.530947110417369
23,187.47,190.6435,181.24,181.93,389250,179.71,184.1,,,162.535496943591,193.33397024854608,13.23612945967327
24,176.58,182.84,173.0,181.96,494097,180.21,182.78,,,162.51361670817437,192.4872792981354,12.993548783982323
25,180.8,189.74,178.52,185.918,367570,181.58,182.13,,,162.75590350640928,191.423539440821,12.866866727983586
26,183.71,186.79,175.99,179.82,439712,183.52,181.12,,,162.82229506954832,190.88373682674728,12.719233390270473
27,186.82,189.69,183.07,188.74,600716,184.52,181.02,,,163.39749381721194,191.33321922873637,12.515716719536869
28,193.95,196.16,189.69,189.72,489538,185.94,180.67,,,163.84770580535914,192.59734471062575,12.151736953855664
29,190.41,197.27,187.28,195.96,350462,186.45,181.25,,,165.1375117487595,193.95671731796773,11.997327171437403
30,196.33,199.21,192.2,195.9,495718,187.59,182.7,,,165.3716507886952,195.16134500441052,11.641089516334732
31,193.83,194.685,185.99,187.1,362094,187.45,182.82,,,167.46896874131536,195.87932430055798,11.517440265167965
32,189.67,195.93,189.13,193.66,411749,188.75,183.81,,,168.55331830985222,196.57013949094838,11.325480246227398
33,192.64,193.16,188.73,189.28,512185,189.57,184.11,,,169.61189338183934,196.98395412905495,10.868660228639728
34,191.62,194.24,189.015,192.96,524939,190.35,184.92,,,174.34726564651905,196.6565137748842,10.46554164087975
35,196.72,199.68,195.39,197.355,330812,192.3,185.92,,,176.29191341247642,197.42616638161343,10.198002952245481
36,195.9,196.775,192.04,194.09,216360,192.89,186.94,,,177.63603155976216,197.8600881104743,9.84921702708509
37,190.83,191.355,184.205,185.13,446557,192.38,188.08,,,178.54738695136598,197.79489776858745,9.851772953721868
38,187.46,190.6,185.79,190.35,320275,191.76,188.61,,,178.86173770404085,197.81653087636758,9.538789171313162
39,190.75,194.63,190.31,190.65,254395,191.18,189.3,,,179.33639098153657,198.0477692686681,9.166018516219365
40,192.23,192.23,188.12,191.31,228914,191.64,189.29,,,179.85956208721765,198.0980885720603,8.80487433648941
41,192.46,196.68,189.68,195.01,467152,191.79,189.76,,,182.01672462510902,197.9893757300121,8.675954741025881
42,187.0,192.98,182.05,184.33,854712,191.24,189.56,,,182.595917253912,198.0028999180538,8.981957973809745
43,187.15,197.94,184.5,192.42,635662,191.18,190.08,,,184.19882967873409,198.1280206318937,9.312532404251906
44,191.07,191.52,186.01,187.22,392524,190.06,190.35,,,184.585372913618,198.04404580793604,9.105208661091055
45,184.39,184.495,177.32,178.19,553061,188.29,189.96,,,182.8718454331388,198.42661573291014,9.161979471013122
46,177.62,181.03,177.33,180.44,410963,187.77,189.99,,,181.5483304489917,198.69132190440038,8.771838080226471
47,182.53,184.8,181.26,181.89,409747,186.83,189.65,,,180.92355289899706,198.0310039459419,8.456706788781725
48,183.04,186.9,182.63,185.05,346410,186.21,189.41,,,180.63766710376788,197.73003944434484,8.210513446725889
49,187.55,189.73,185.73,185.97,371039,185.61,188.92,187.61,,180.5060750328871,197.28571840245647,7.958333914816896
50,188.42,188.42,185.14,187.04,410716,184.73,188.47,187.37,,180.35330789432592,197.05547159617208,7.624167206615689
51,185.45,190.74,185.45,189.16,310082,185.26,188.58,187.25,,180.22831678595588,196.79392898182547,7.4574409775717125
52,190.28,190.28,182.44,182.53,364414,184.17,188.02,186.85,,180.2389711674274,195.69946878703823,7.484766622030877
53,182.87,183.61,177.1,178.83,413886,183.23,187.5,186.4,,179.43751125754446,194.93954330918004,7.415140434742959
54,177.07,180.62,175.83,180.32,833993,183.47,186.86,185.84,,178.45774991275346,194.85239135048758,7.22763040368989
55,180.25,182.61,176.66,178.48,552528,183.25,185.92,185.43,,177.6666429531583,194.63616779636286,7.136371089140614
56,182.06,189.24,182.06,188.23,583013,183.96,185.63,185.19,,177.6435582618879,194.0836596661341,7.395201725630571
57,188.24,188.24,183.84,184.05,452987,183.85,185.57,185.06,,177.66264525105163,193.7464945234543,7.181258745228388
58,185.77,187.23,183.64,185.15,337130,183.75,185.31,184.83,,177.83517520417521,192.64490905327085,6.924740263426361
59,185.18,188.63,184.08,185.3,344698,183.56,185.05,184.85,,177.90335800765317,192.1683625944093,6.755115958895905
