,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,94.78,97.04,91.92,96.43,2280733,,,,,,,5.1200000000000045
1,96.58,99.56,95.57,99.56,1566788,,,,,,,5.03928571428572
2,99.66,101.49,97.71,98.2,1267267,,,,,,,4.949336734693883
3,99.82,101.95,99.64,101.7,1246085,,,,,92.57119955663042,102.46782112177975,4.8636698250728925
4,100.49,103.63,99.38,102.27,1541198,,,,,96.0111682077585,103.49857656458568,4.819836266139115
5,100.5,101.67,98.34,100.7,1464184,,,,,97.77597848401221,103.26492515172733,4.756276532843463
6,95.21,98.62,92.63,96.46,2445928,,,,,93.87492565063647,103.76247674280154,4.992971066211788
7,97.81,98.92,95.22,97.63,1743652,,,,,93.01703061288757,103.33007900644235,4.9006159900538036
8,95.68,96.779,92.63,93.72,956250,98.52,,,,91.72011937703815,101.21664466277781,4.907714847907103
9,88.12,89.04,82.505,83.87,1918046,97.12,,,,84.55523771908021,100.93377231730159,5.358235215913739
10,85.74,88.73,81.78,88.7,2170712,95.92,,,,80.45400848753187,99.14276508258502,5.47193270049133
11,82.19,83.86,76.52,81.13,2459013,94.02,,,,75.95391910642121,95.47656999206434,5.951080364741949
12,82.27,86.71,81.3604,86.71,5775952,92.35,,,,77.54685219109022,89.70885549652931,5.924574624403238
13,81.75,86.79,80.86,84.2,2105710,90.35,,,,77.45056802686264,88.72878622727585,5.924962151231579
14,84.34,84.34,80.19,82.89,2967481,88.37,,,,77.31837546506846,87.12210429850388,5.7981791404293235
15,83.29,83.85,77.17,78.08,2095737,86.33,,,,77.82826350709624,87.12332849909501,5.861166344684372
16,77.43,79.67,71.52,72.65,2157672,83.55,,,,72.75178525654312,86.91420338694462,6.024654462921203
17,74.59,75.71,73.0844,75.34,3505510,81.51,,,,71.16224911748333,85.33741090086937,5.812893429855402
18,75.5,76.32,70.87,71.54,2242597,80.14,,,,70.04856578443463,82.99975820971083,5.786972470580015
19,72.09,78.66,72.01,78.16,2554562,78.97,88.5,,,70.84374033412581,79.65950122815484,5.882188722681443
20,76.66,77.77,74.53,75.0,1335669,78.29,87.43,,,70.9078920043322,78.59382171564651,5.721318099632769
21,75.27,77.58,74.59,77.4,1240551,77.25,86.32,,,70.95329044561801,78.64331584169969,5.526223949658999
22,76.92,77.895,75.51,77.49,1330102,76.51,85.28,,,72.50794794270924,78.49751103105929,5.301850810397641
23,75.17,75.69,73.285,74.81,1214813,75.61,83.94,,,73.47388555018665,78.37476142084601,5.223504323940667
24,74.01,76.67,73.9,76.32,1287727,75.41,82.64,,,73.27064562036955,78.050583120262,5.048254015087763
