,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,202.95,205.99,194.53,194.57,809669,,,,,,,11.460000000000008
1,189.92,191.18,184.35,189.0,1385705,,,,,,,11.371428571428579
2,189.71,199.85,189.04,199.54,814600,,,,,,,11.334183673469395
3,197.94,200.92,194.51,197.16,839938,,,,,,,10.982456268221581
4,200.2,207.135,199.3,206.62,690693,,,,,,,10.910495106205754
5,201.35,204.38,199.92,201.85,920506,,,,,,,10.609745455762488
6,194.95,200.74,192.34,199.71,1481588,,,,,,,10.53119220892231
7,200.91,208.64,178.44,185.125,3805238,,,,,,,11.936107051142145
8,187.95,192.89,182.22,187.67,2440941,195.69,,,,,,11.84567083320342
9,182.22,195.105,178.01,188.37,2977977,195.0,,,,,,12.22062291654603
10,177.58,184.32,165.42,173.0,1907010,193.23,,,,176.54569602744812,206.7657023797548,12.987006993935601
11,177.72,182.51,169.92,180.04,1777333,191.06,,,,173.46640036561033,205.75116766536527,12.95864935151163
12,167.23,174.7,155.56,164.01,2966802,187.38,,,,167.81699692631253,206.49863632585047,13.781602969260799
13,168.01,181.05,168.0002,173.25,2267688,183.67,,,,165.50621426173836,205.498586790948,14.014345614313601
14,165.04,165.04,145.93,157.3,1775818,178.72,,,,158.69378575920177,204.8020497550064,14.964749499005487
15,156.97,158.28,146.03,152.59,1299329,173.48,,,,153.5967445614584,202.19009519830985,14.770838820505096
16,149.27,157.99,148.16,152.02,1639410,169.81,,,,150.54560526316914,198.77882313466597,14.41792176189759
17,152.18,156.16,143.34,147.39,1393157,165.33,,,,147.28213233742488,195.10731213100183,14.30378449319062
18,153.45,172.08,153.45,169.55,1398655,163.24,,,,145.9216649860574,188.462319660141,15.045657029391291
19,169.22,169.65,161.85,163.47,1391828,162.18,179.11,,,146.21565037426913,184.98403206090302,14.528110098720488
20,163.98,169.35,161.52,165.42,1882813,160.56,177.65,,,146.69992677274908,180.1439225112526,14.049673663097595
21,159.91,172.87,157.66,167.22,1162341,160.91,176.57,,,146.4592037612851,178.01650725311697,14.132554115733482
22,168.83,174.56,165.46,172.94,1272209,160.88,175.24,,,146.6766760636693,176.37336306597672,13.773085964609663
23,169.73,172.38,165.65,169.85,1039607,162.27,173.87,,,147.0234463021467,176.00773614337294,13.310008395708973
24,162.13,166.7,154.26,156.38,1003828,162.69,171.36,,,146.67629598336657,173.4358966015994,13.472864938872618
25,153.29,162.38,153.155,158.06,939445,163.36,169.17,,,147.84737543585734,173.31339425014255,13.169446014667432
26,157.5,159.76,153.13,157.1,1071038,164.44,167.04,,,149.0958227084666,173.27806352698244,12.702342727905474
27,164.14,176.96,162.58,175.14,1906588,165.06,166.54,,,150.70630458273206,174.9725787925176,13.213603961626513
28,180.04,182.295,176.02,178.59,1037664,166.74,166.08,,,153.33043889246264,177.18586688344064,12.780846535796048
29,179.63,193.31,177.99,190.05,2205864,169.48,166.17,,,154.24134816995573,182.0689505217734,12.962214640382046
30,191.07,196.85,189.18,195.83,736188,172.66,167.31,,,153.55434430909852,186.937635839618,12.584199308926184
31,193.88,195.64,187.48,189.45,687760,174.49,167.78,,,154.20913301206534,190.62048978125478,12.281756501145745
32,192.12,197.1,190.05,197.04,1506828,177.52,169.43,,,156.0145173651836,193.94340561951404,11.950916751063907
33,190.83,194.23,184.16,185.71,1910721,180.77,170.06,,,157.26683998874393,196.2360280659125,12.017279840273629
34,186.44,190.82,183.67,189.02,2058913,184.21,171.64,,,158.7017420359576,197.80634402967843,11.6696169945398
35,192.45,196.59,191.675,195.06,1453874,188.43,173.76,,,162.74203768692624,199.8948169365656,11.376787209215529
36,192.83,192.83,186.95,188.85,1337042,189.96,175.61,,,168.00998694795052,200.32564190836288,11.143445265700135
