,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,111.13,111.979,106.61,110.81,5351992,,,,,,,5.369
1,111.84,117.2,111.82,117.02,3475387,,,,,,,5.441928571428572
2,117.58,119.01,112.34,112.71,3707626,,,,,,,5.5296479591836745
3,116.98,120.55,116.12,120.27,2837527,,,,,,,5.69467310495627
4,117.96,120.0979,116.81,117.68,2742787,,,,,,,5.5350535974593935
5,114.43,117.61,114.03,117.18,2303344,,,,,,,5.40040691192658
6,110.16,115.29,109.27,112.06,3074049,,,,,,,5.579663561074682
7,114.43,115.17,109.37,113.48,4148160,,,,,,,5.595401878140776
8,110.54,113.7,108.74,109.97,2339311,114.58,,,,,,5.55001602970215
9,102.95,104.4,97.64,97.74,4576043,113.12,,,,,,6.034300599009139
10,101.11,105.32,97.36,105.31,4385627,111.82,,,,,,6.171850556222772
11,90.0,105.69,85.5,99.89,4546700,110.4,,,,,,7.173146945064002
12,100.72,110.8499,100.72,108.93,4501180,109.14,,,,,,7.443629306130859
13,102.65,105.99,98.86,102.45,3730604,107.45,,,,,,7.631227212835798
14,101.86,102.64,97.915,99.86,3663092,105.52,,,,,,7.423639554776098
15,100.1,100.55,96.61,98.07,5758076,103.97,,,,,,7.1748081580063765
16,98.69,99.5,87.08,87.86,6185436,101.12,,,,,,7.549464718148778
17,91.19,93.57,90.0,92.1,4331126,99.13,,,,,,7.41807438113815
18,91.86,93.7,85.34,90.83,5455638,98.37,,,,,,7.485354782485425
19,90.9,98.22,90.75,97.6,4415516,97.51,105.59,,,80.7241072826142,126.03172141419489,7.484258012307895
20,95.3,98.35,93.57,95.1,3103796,96.98,104.81,,,79.91154530914208,125.84340684764956,7.291096725714474
21,96.14,97.67,92.6,94.58,3436181,95.38,103.68,,,79.2790742421617,124.85481031271168,7.132446959592012
22,93.58,93.74,90.82,92.56,3572557,94.28,102.68,,,78.66375801184734,123.5578501681214,6.891557891049725
