,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,78.8,79.05,75.34,77.63,1468340,,,,,,,3.7099999999999937
1,77.82,81.42,77.68,81.32,784285,,,,,,,3.715714285714281
2,81.56,83.56,80.41,80.86,697832,,,,,,,3.675306122448976
3,82.49,84.6699,81.97,84.53,493778,,,,,,,3.6849199708454776
4,83.51,84.2,82.69,83.6,400066,,,,,,,3.553139972927944
5,82.2,82.91,79.98,82.63,424562,,,,,,,3.557915689147376
6,78.23,79.72,76.76,76.83,789979,,,,,,,3.7230645684939914
7,78.62,80.1,75.25,79.89,624062,,,,,,,3.803559956458706
8,78.0,78.25,74.3,76.01,937954,80.37,,,,,,3.9311628167116557
9,70.5,72.0,60.0,67.61,1471506,79.25,,,,,,4.793936901232252
10,70.66,74.03,65.03,73.88,1007890,78.43,,,,,,5.094369979715662
11,64.51,66.5132,60.74,60.75,1037604,76.19,,,,,,5.6690578383074
12,61.83,66.0,60.02,64.14,1060239,73.93,,,,,,5.691267992714014
13,60.0,62.64,49.36,53.45,1272144,70.58,,,,,,6.340463136091585
14,52.76,53.06,38.62,45.83,3261001,66.49,,,,,,6.946858626370759
15,47.04,54.94,47.04,49.49,1681610,63.45,,,,,,7.101368724487133
16,48.0,48.0,42.1867,43.69,1718009,59.43,,,,,,7.115792387023767
17,48.25,52.66,47.4001,52.64,1261689,56.83,,,,,,7.248235787950641
18,53.08,62.83,52.75,57.02,1308540,55.65,,,,,,7.458361803097024
19,58.35,62.45,56.67,60.65,1236515,54.18,67.62,,,35.08750066225558,94.50984896388252,7.338478817161522
20,57.2,61.8764,56.76,60.03,865346,54.1,66.74,,,34.46971490171458,93.58459885575022,7.179758901649985
21,59.29,60.0,56.38,59.31,1866753,53.57,65.64,,,34.079010048051956,92.20068673757358,6.9276332658178434
22,58.59,60.25,57.03,58.09,2643378,54.08,64.5,,,34.17866294320348,90.19823807319193,6.662802318259426
23,55.75,57.41,53.47,54.82,1458171,55.08,63.02,,,34.45696331928951,87.71056512786255,6.516887866955182
24,53.79,55.49,52.3613,54.56,1660231,55.65,61.57,,,35.243709753609366,84.96342851420651,6.274874447886955
25,53.59,53.8324,49.01,50.26,1505307,56.38,59.95,,,35.838783204363224,82.09836521094836,6.223097701609316
26,53.74,57.07,53.25,56.04,1239925,56.75,58.91,,,36.94786988991791,79.43337792682337,6.265019294351507
