,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,68.49,69.04,66.12,67.16,1649013,,,,,,,2.9200000000000017
1,67.28,70.21,66.56,70.21,869384,,,,,,,2.9721428571428583
2,70.1,71.23,67.65,67.97,753079,,,,,65.91022316975915,71.36544141292724,3.0155612244897974
3,69.11,70.03,67.63,70.01,964509,,,,,66.59401967958257,71.201862346244,2.9715925655976694
4,68.37,68.47,66.24,66.82,1006306,,,,,66.28414587653171,71.43229826249656,3.0286216680549796
5,64.66,66.64,64.1,66.25,1022897,,,,,64.03394759783895,70.24647019799406,3.00657726319391
6,62.71,62.71,59.29,60.29,1167934,,,,,59.294602574450465,69.17742165928382,3.2889646015372023
7,61.79,63.155,60.14,63.06,1112145,,,,,58.35285004136444,66.53559833398985,3.269395701427402
8,61.21,61.39,57.87,58.13,1412554,65.54,,,,57.838448177838124,63.4280640317541,3.4065817227540167
9,54.18,55.13,51.1,51.45,1691607,63.8,,,,51.19673613663483,64.53047352655352,3.665397313985873
10,53.98,56.4,50.54,56.18,1181816,62.24,,,,48.68206740246693,61.280002884614234,3.8221546487011677
11,49.59,52.99,47.02,47.51,1752268,59.97,,,,47.12043437667005,56.73573758732585,4.203429316651084
12,48.81,53.26,47.02,53.03,1765895,58.08,,,,45.957833091031105,56.301865538077585,4.348898651176007
13,49.89,52.67,47.5,50.7301,1631191,56.29,,,,46.87515905786782,53.298221519227134,4.433263033234864
14,50.06,50.88,48.01,48.44,1125666,54.31,,,,46.965416673042554,53.63333451507693,4.321601388003803
15,48.58,50.03,47.24,47.58,1404321,52.9,,,,47.15245709433498,52.67569642425721,4.2122012888606735
16,46.77,47.34,43.05,43.33,1383012,50.71,,,,43.16378287587582,51.44944563481184,4.234901196799197
17,45.21,48.31,44.85,48.1,911587,49.59,,,,42.734563655697336,50.05854562826763,4.288122539884969
18,47.87,49.66,45.68,47.51,806119,49.16,,,,43.047735859179895,49.71835942756272,4.266113787036042
19,47.89,51.17,46.85,50.76,640351,48.55,56.73,,,44.68804769905889,51.287153632266275,4.269962802247754
20,49.77,53.55,48.92,51.89,829847,49.04,55.96,,,45.34522882336843,53.617262385524796,4.2956797449443425
21,51.87,54.7,50.4,54.51,1083066,49.21,55.18,,,46.7618654306305,55.120397182385446,4.295988334591176
22,53.6,54.155,51.05,52.1,1779259,49.36,54.38,,,48.9225517822869,54.76778689145731,4.2362748821203775
23,49.66,50.89,49.22,50.25,1156651,49.56,53.4,,,49.202859750464334,55.51485612901255,4.139398104826065
24,49.62,52.09,49.52,50.69,1087157,49.9,52.59,,,48.85037367575622,54.1949687076816,4.027298240195632
25,49.98,50.9413,49.24,49.48,981619,50.59,51.75,,,49.14216373082697,52.05344593071856,3.861155508753087
26,51.82,54.124,51.3,53.73,855589,51.21,51.42,,,48.79094996033516,54.15801468331112,3.917072972413581
27,55.78,57.39,53.76,53.88,932269,51.92,50.96,,,48.944090610468905,57.69865029989084,3.8987106172411825
28,54.37,55.46,53.13,55.16,621520,52.41,50.82,,,51.32436526793047,57.46417588290848,3.7866598588668126
29,56.07,58.945,56.07,58.32,577956,53.12,51.16,,,52.617272482162754,59.18544532595966,3.7865412975191837
30,58.35,58.35,56.3383,56.66,496547,53.36,51.18,,,53.22151708240901,59.63561509064971,3.6597669191249564
31,58.25,59.35,57.94,58.74,641299,54.1,51.74,,,55.67052144387019,59.43496593770691,3.5904978534731744
32,57.0,57.3,55.27,55.76,855861,54.71,51.88,,,55.03786426024121,59.460945116410144,3.581890863939376
33,55.49,56.18,53.74,54.66,732491,55.15,52.08,,,53.311807749563734,59.378333396167214,3.500327230800849
34,56.44,57.34,55.7,56.93,727426,55.98,52.5,,,53.77015535378488,57.66433141585899,3.4417324286007887
35,55.96,56.0825,54.5,55.25,640037,56.15,52.89,,,53.559649954130236,57.30369673159825,3.3694658265578754
36,53.82,54.62,53.17,53.37,730083,56.09,53.39,,,53.06455448248987,57.511582280594084,3.2773611246608843
37,52.72,54.335,50.78,51.38,1785290,55.67,53.55,,,50.743164235191486,56.04379399906149,3.2971924728993924
38,51.49,51.91,50.15,50.15,857182,54.77,53.68,,,49.614164931051704,55.25976513236815,3.1873930105494357
39,50.47,50.74,49.21,50.24,876786,54.05,53.66,,,49.17757384461977,54.3453441373038,3.0690077955101907
40,50.34,53.1,50.33,52.92,736119,53.41,53.71,,,49.235079685738675,53.214682203296924,3.054078667259463
41,54.26,54.7156,53.365,54.02,825882,53.21,53.68,,,48.60356144510956,55.05118633614028,2.964187333883787
42,55.19,56.93,54.55,56.19,709980,53.38,53.89,,,50.35414389151102,57.03026434776821,2.960316810034945
43,55.04,55.3,53.92,54.02,718018,53.06,54.08,,,53.2928150185721,56.91089941673921,2.9110084664610203
44,52.93,53.05,51.15,51.45,546041,52.64,54.12,,,51.21702440401405,57.23639570604522,2.908079290285234
45,50.86,51.48,50.325,51.44,635605,52.42,54.21,,,49.726867045088845,55.388733505886854,2.7828593409791456
46,51.87,53.21,51.73,51.75,687601,52.46,54.11,,,50.29167698504702,53.63157928849909,2.7105122451949213
47,51.99,52.22,49.96,49.99,965709,52.45,53.92,,,49.643676596999924,53.25813924729365,2.67833279910957
48,50.49,52.22,50.475,51.15,836454,52.55,53.72,,,49.72020843821507,53.178734443147704,2.6463090277446004
49,52.11,52.33,50.7,51.72,647117,52.41,53.39,54.65,,49.96104556292374,52.32652604924043,2.573715525762843
50,51.01,51.715,50.12,50.98,607829,52.08,53.11,54.32,,50.1100067790005,52.44909029214853,2.504164416779783
51,51.14,51.4,49.31,49.38,740659,51.32,52.64,53.91,,49.27535264781227,52.33529534881668,2.4745812441526556
52,48.8,48.935,46.64,46.94,1082963,50.53,52.2,53.49,,46.686942586943644,52.35783119338979,2.4935397267131805
53,46.32,47.74,45.25,47.4,1182091,50.08,51.83,53.03,,44.79697630599336,51.411331892352244,2.4932868890908106
54,46.87,48.0873,46.22,47.73,1612833,49.67,51.37,52.65,,45.252471325356076,48.930285067345054,2.4485735398700386
55,49.84,52.34,49.51,51.92,902498,49.69,51.21,52.37,,44.53724409771235,52.20669206421022,2.6029611441650364
56,51.69,52.12,51.07,51.33,743376,49.84,51.1,52.19,,46.209853879889025,53.482848822553194,2.492035348153248
57,51.81,53.69,51.65,53.39,668366,50.09,51.21,51.99,,49.52588956324234,53.65175293719661,2.4826042518565874
58,53.21,55.92,53.21,55.75,984299,50.54,51.49,51.94,,50.75922289657566,56.01048161144063,2.4988468052954027
59,55.87,56.55,55.1,56.48,831093,51.15,51.8,52.05,,51.41960872449906,57.039682798872725,2.4239291763457307
60,58.56,59.0,57.38,57.53,762609,52.05,52.03,52.07,,52.93315890841352,58.9465371461521,2.4307913780353214
61,59.54,59.96,57.9,58.55,838765,53.34,52.25,52.29,,55.15505944495765,60.43759296774992,2.4307348510327986
62,59.57,59.57,57.78,58.13,632032,54.53,52.35,52.4,,57.387164858101826,60.04108473900128,2.3849680759590273
63,57.67,58.51,57.24,57.91,693105,55.67,52.55,52.54,,57.253275291712214,60.17205768511392,2.3053274991048105
64,57.79,58.07,56.8,57.93,480179,56.33,52.87,52.73,,56.73339876939655,59.56483253094876,2.2313755348830386
65,57.89,59.82,57.67,59.63,682482,57.26,53.28,52.97,,56.75815613038391,59.80136257169922,2.225562996677107
66,60.16,61.385,59.75,60.26,994581,58.02,53.7,53.31,,56.40595925013135,61.58252948049881,2.1919513540573137
67,59.91,61.5,59.43,61.42,726582,58.65,54.28,53.57,,57.71799999999986,61.934031952470754,2.18324054305322
