,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,49.18,49.54,47.33,49.24,2639849,,,,,,,2.210000000000001
1,49.57,50.6,48.2,49.65,3385289,,,,,,,2.223571428571429
2,49.13,50.51,46.75,47.22,2418629,,,,,,,2.3333163265306127
3,47.93,48.28,46.97,47.82,3181579,,,,,,,2.260222303206998
4,46.99,46.9938,44.97,45.33,2178171,,,,,,,2.3023492815493554
5,43.9,45.1,43.45,44.73,4067354,,,,,,,2.272181475724401
6,42.0,42.85,41.89,42.09,2813131,,,,,,,2.3127399417440864
7,42.99,44.37,42.0,44.33,1924434,,,,,,,2.316829945905223
8,43.06,44.31,41.845,42.51,2099307,45.88,,,,,,2.328842092626278
9,40.0,41.85,39.21,39.95,3802018,44.85,,,,,,2.3982105145815438
10,41.29,42.25,38.02,40.45,2183271,43.83,,,,,,2.529052620682862
11,36.28,37.4127,34.37,35.19,5227494,42.49,,,,,,2.7826917192055154
12,35.95,36.78,31.7001,34.51,5114828,41.01,,,,,,2.94677802497655
13,32.17,33.53,31.71,32.8,9503398,39.62,,,,,,2.9362938803353673
14,32.41,35.55,31.7943,35.17,3872925,38.56,,,,34.72285630466202,48.83260534134776,2.9948228888828408
15,35.42,36.23,32.3,32.84,3907124,37.53,,,,33.65551009555183,47.94523170510507,3.0616212539626377
16,32.78,33.45,31.575,31.9,3797490,36.15,,,,32.69954268037266,46.76716585613981,2.9768625929653068
17,33.44,34.2,32.02,33.78,5991145,35.18,,,,31.956407916927574,45.3274862443173,2.928515264896357
18,33.87,36.13,33.265,35.0,8813511,34.63,,,,31.58818453088387,44.09290265672293,2.923978460260903
19,35.36,39.675,34.86,39.4,3622060,34.51,40.2,,,31.45033608246584,43.11383062282152,3.059051427385124
20,37.58,40.12,37.12,37.91,3817695,34.81,39.63,,,31.49940584462817,42.440885357756926,3.0548334682861866
21,37.99,39.4775,36.67,39.19,2782653,35.33,39.11,,,31.52251107275518,42.04400548730256,3.0371667919800305
22,38.98,39.98,38.34,38.83,2399435,36.0,38.69,,,31.654398274462807,41.3971869548445,2.9373691639814563
23,37.03,39.13,37.0003,37.31,2238212,36.24,38.16,,,31.849076170159336,40.595660241717134,2.8796785094113524
24,37.38,38.37,36.76,37.44,2603303,36.75,37.77,,,31.90594441588741,40.138183892605184,2.7889871873105414
25,37.4,38.01,35.01,35.44,2223374,37.14,37.3,,,31.886911397348978,39.51568859831067,2.8040595310740746
26,36.88,37.97,36.21,37.69,8223208,37.58,37.08,,,31.95949157310247,39.560913634368056,2.784483850283069
27,38.69,39.43,37.95,38.09,2259622,37.92,36.77,,,32.341161165378956,39.800072138485035,2.709877860977136
28,38.56,39.73,37.87,39.59,4270510,37.94,36.62,,,32.79703408797209,40.02102724176581,2.6491722994787694
29,39.82,42.15,39.28,41.92,3515442,38.39,36.72,,,33.287813212305196,40.626858973895665,2.664945706658857
30,41.25,41.79,39.715,40.22,1248867,38.5,36.71,,,33.77964116068193,41.08918585278877,2.63209244189751
31,40.55,41.89,40.35,40.78,3406404,38.72,36.99,,,34.515031931288874,41.321205083676325,2.563371553190545
32,39.52,40.38,39.18,39.94,2345134,39.01,37.26,,,35.34328736281483,41.23211965444654,2.4945592993912205
33,39.84,40.3438,38.93,39.06,4462697,39.19,37.58,,,36.03396441997851,41.19988783192266,2.417362206577562
34,40.17,41.48,39.87,40.9,3805715,39.8,37.86,,,36.47680944194539,41.38025446166158,2.4175506203934503
35,40.26,41.85,40.0,41.28,2303959,40.2,38.28,,,36.61022391981965,41.57575514308691,2.377011290365347
36,40.7,41.13,39.62,39.66,3213443,40.37,38.67,,,36.828433176365664,41.69542224194389,2.325796198196394
37,40.19,40.545,39.68,39.92,2772567,40.41,38.98,,,36.88416279510209,41.733128158916976,2.2228821840395088
38,40.29,40.345,38.65,38.69,8768774,40.05,39.16,,,37.04806964097388,41.77888886284573,2.1851763137509725
39,38.71,39.405,38.49,39.3,4917545,39.95,39.16,,,37.24806289686614,41.76696111871808,2.0944494341973314
40,39.68,41.23,39.68,41.09,5379513,39.98,39.32,,,37.961066590163036,41.813236494377925,2.082703046040379
41,41.86,42.38,40.76,41.64,1610214,40.17,39.44,,,38.502973643961376,41.9271678822527,2.0496528284660664
42,42.3,44.56,42.2,44.2,1742010,40.74,39.71,,,38.590937758753256,42.555802062403345,2.1118204835756336
43,43.46,43.79,42.41,42.45,2401520,40.91,39.97,,,38.782698947679336,42.902453061546694,2.0888333061773743
44,41.71,42.34,40.15,40.28,1422564,40.8,40.11,,,38.853601340476544,42.92200654636906,2.1039166414504193
45,40.2,40.74,39.1,39.6,4764479,40.8,40.32,,,38.79129540483546,42.86650408391932,2.070779738489675
46,40.11,41.12,40.05,40.68,2701508,40.88,40.46,,,38.7763896086167,42.81369750613053,2.031438328597555
47,40.77,40.97,39.97,40.31,4216845,41.06,40.58,,,38.84746037174466,42.82861622579536,1.9577641622691582
48,40.95,41.54,40.605,41.11,2281570,41.26,40.65,,,38.987062873148986,42.87105401886437,1.905781007821361
49,41.87,42.94,40.03,40.635,5920328,41.21,40.59,39.98,,38.999166962335764,43.015306960620876,1.9775109358341207
50,39.8,40.68,38.93,40.28,5244388,41.06,40.59,39.8,,38.88720067103782,42.959007360544334,1.961260154703112
51,40.39,40.75,36.96,36.96,2764894,40.26,40.4,39.55,,38.4618163912172,42.94599533627104,2.0918844293671754
52,36.94,37.505,36.32,37.33,2885336,39.69,40.27,39.35,,37.964171174836125,43.08159439181915,2.0271069701266633
53,36.86,37.88,36.12,37.87,2608539,39.42,40.21,39.15,,37.575418827925475,43.12466259592253,2.008027900831902
54,37.82,38.67,37.14,37.68,4503428,39.21,40.05,39.0,,37.40532563348884,43.13249888190589,1.9738830507724807
55,38.54,40.92,38.49,40.57,1920926,39.19,40.01,38.92,,37.31572197414329,43.11243583507758,2.0643199757173036
56,40.57,41.64,39.88,41.1,2341188,39.28,40.08,38.9,,37.291459872548046,43.03867336572902,2.042582834594639
57,41.29,41.87,40.77,41.72,4024846,39.35,40.17,38.84,,37.32230803424353,42.62760383890345,1.9752554892664502
58,41.6,42.59,41.17,41.97,3570648,39.5,40.34,38.83,,37.377460972486446,42.42805490864785,1.9355943828902755
59,41.88,42.5891,40.625,42.26,3631962,39.72,40.49,38.88,,37.38237350799119,42.46266433400532,1.9376304983981132
60,43.39,45.42,43.04,45.32,2612856,40.65,40.7,38.98,,37.35996121971598,43.15825386784154,2.024942605655391
61,46.96,47.91,46.49,47.78,2870091,41.81,41.01,39.23,,37.06033716535979,44.26234876644415,2.0653038481085773
62,47.98,48.14,46.82,46.99,2386653,42.82,41.14,39.48,,36.960545426525016,45.21975277993705,2.0120678589579644
63,46.61,46.87,45.81,46.5,1731458,43.8,41.35,39.75,,37.002125857320465,45.803414441815434,1.952634440460967
64,46.24,47.46,45.92,47.1,951929,44.53,41.69,39.99,,37.14374920350264,46.346866906308186,1.9231605518566122
65,47.43,47.75,46.83,47.37,1512660,45.22,42.08,40.28,,37.433968573505844,46.988950547227596,1.8515062267239972
66,48.09,49.07,47.63,47.85,3228836,45.9,42.44,40.6,,38.062207957697645,47.762255843887786,1.840684353386569
67,47.65,48.47,47.09,48.06,1228279,46.58,42.82,40.89,,38.94270966645619,48.26605898574553,1.807778328144671
68,49.18,50.915,49.18,50.18,1900166,47.46,43.28,41.19,,39.982735085548676,49.004757969942645,1.8825798761343373
69,49.99,51.35,49.93,51.17,2675704,48.11,43.8,41.42,,41.003038695584834,49.65520841487866,1.8495384564104564
