,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,48.65,52.916,48.39,52.7,36760051,,,,,,,4.525999999999996
1,53.2,54.69,52.1,54.675,30179151,,,,,,,4.387714285714282
2,54.61,55.4,51.1,51.79,34953648,,,,,,,4.381448979591833
3,53.02,55.3761,52.21,55.3,26053294,,,,,,,4.3246383381924165
4,53.45,55.61,53.34,53.72,31815550,,,,,,,4.177878456892958
5,52.2,53.19,50.0,51.48,28531040,,,,,,,4.145172852829176
6,45.7901,48.6,45.67,45.685,27338698,,,,,,,4.264089077627092
7,48.15,48.26,45.29,47.86,27453656,,,,,,,4.171654143510871
8,46.2,46.32,42.845,43.72,72906312,50.77,,,,,,4.231893133260095
9,39.4,42.5397,38.0,38.6,37346440,49.2,,,,,,4.3381864808843735
10,41.57,43.02,38.35,42.99,32795601,47.9,,,,,,4.361887446535491
11,37.35,39.14,34.45,34.455,67756118,45.98,,,,,,4.660324057497242
12,35.49,39.13,34.02,37.33,32584100,43.98,,,,,,4.692443767676011
13,34.26,36.555,31.13,35.15,31664432,41.92,,,,,,4.800126355699153
14,34.66,37.3,33.65,36.28,57909974,40.23,,,,,,4.717974473149214
15,37.77,38.59,35.84,36.03,36801119,39.16,,,,,,4.57740486792427
16,36.99,39.47,35.69,38.27,43485387,38.09,,,,,,4.520447377358251
17,41.82,44.42,41.14,43.28,41974137,38.04,,,,,,4.636843993261233
18,43.91,44.88,40.03,42.16,48205927,38.44,,,,,,4.6520694223140024
19,44.96,45.75,43.33,44.82,58100436,38.64,44.31,,,34.47977566392974,53.35851814000676,4.576207320720146
20,43.25,45.28,42.31,43.53,37793922,39.65,43.86,,,34.33390912735873,52.75823033658328,4.461478226382993
21,44.17,45.57,43.1475,44.52,62638066,40.45,43.35,,,34.33078251319883,51.90725580537024,4.315836924498494
22,44.4,45.17,41.91,42.06,33983604,41.22,42.86,,,34.300558333365764,50.85557848308606,4.240420001320031
23,40.5503,42.3,39.33,39.89,34765994,41.62,42.09,,,34.283963493187656,49.565089468727386,4.1496757155114565
24,39.79,41.59,39.52,41.09,29419736,42.18,41.46,,,34.56542745847107,48.00363962733804,4.001127450117782
25,40.97,41.86,40.55,41.23,25848277,42.51,40.95,,,34.80191069349369,46.685102722394774,3.8089040608236546
26,43.35,46.68,43.34,46.35,66539308,42.85,40.98,,,34.861762280390096,46.43221128932436,3.9261251993362514
27,48.09,48.37,46.04,46.51,63469670,43.33,40.91,,,34.82869043319868,46.448222301839905,3.812116256526519
